ticker,data_days,rsi10_signals,rsi10_wr,rsi15_signals,rsi15_wr,rsi20_signals,rsi20_wr,vol_spike_signals,vol_spike_wr,down3_signals,down3_wr,combo_signals,combo_wr,deep_drop_signals,deep_drop_wr,gap_fade_signals,gap_fade_wr,score,edges_65plus,edges_55plus
IOBT,250,1,100.0,3,100.0,7,100.0,5,80.0,21,47.61904761904761,1,100.0,89,58.42696629213483,23,78.26086956521739,2388.687802074642,4,5
MNTS,250,2,100.0,13,69.23076923076923,13,61.53846153846154,0,0.0,40,40.0,2,50.0,127,42.51968503937008,12,83.33333333333334,2125.116209324134,3,4
BBAI,250,7,71.42857142857143,2,100.0,10,30.0,3,66.66666666666666,30,66.66666666666666,0,0.0,90,44.44444444444444,31,93.54838709677419,2071.328854448145,5,5
QMCO,250,3,100.0,4,75.0,3,33.33333333333333,2,100.0,36,63.888888888888886,0,0.0,126,42.857142857142854,23,73.91304347826086,1971.0313511749014,4,5
BLDP,250,3,100.0,1,100.0,5,60.0,3,33.33333333333333,19,31.57894736842105,3,100.0,30,46.666666666666664,5,100.0,1930.9737932113637,3,4
BKSY,250,3,33.33333333333333,6,66.66666666666666,5,60.0,0,0.0,27,62.96296296296296,1,100.0,93,40.86021505376344,13,76.92307692307693,1774.895702184786,2,4
LCID,250,6,83.33333333333334,4,75.0,9,22.22222222222222,2,0.0,27,29.629629629629626,2,100.0,96,27.083333333333332,2,100.0,1725.9239994555883,4,4
RXRX,250,2,50.0,7,100.0,8,62.5,2,0.0,26,26.923076923076923,0,0.0,86,48.837209302325576,10,80.0,1720.4430059464712,2,3
NVTS,250,0,0.0,3,66.66666666666666,2,100.0,3,100.0,29,62.06896551724138,0,0.0,112,46.42857142857143,22,90.9090909090909,1699.3955313319543,4,5
ALKT,250,1,100.0,4,50.0,4,25.0,4,25.0,11,45.45454545454545,2,100.0,25,76.0,2,100.0,1654.0507532013755,3,3
HUT,250,4,25.0,7,28.57142857142857,3,66.66666666666666,1,100.0,15,80.0,3,33.33333333333333,61,52.459016393442624,15,66.66666666666666,1647.2408590134087,3,3
FLNC,250,1,100.0,2,100.0,5,40.0,1,100.0,27,59.25925925925925,0,0.0,87,50.57471264367817,15,60.0,1645.3413863540457,1,3
AMBA,250,2,100.0,2,100.0,5,80.0,8,37.5,14,42.857142857142854,0,0.0,40,42.5,4,75.0,1624.9625669209627,4,4
MDAI,250,9,55.55555555555556,6,33.33333333333333,6,50.0,2,50.0,23,47.82608695652174,1,0.0,96,39.58333333333333,11,81.81818181818183,1616.3762792784298,1,2
RDW,250,0,0.0,7,42.857142857142854,10,30.0,2,50.0,33,51.515151515151516,3,66.66666666666666,115,38.26086956521739,13,84.61538461538461,1585.8751528673697,2,2
SPRO,250,2,100.0,4,100.0,3,0.0,1,100.0,16,25.0,1,100.0,51,43.13725490196079,3,66.66666666666666,1583.4161353741376,3,3
CLSK,250,6,83.33333333333334,1,0.0,5,40.0,1,100.0,21,52.38095238095239,0,0.0,59,45.76271186440678,17,76.47058823529412,1572.4230427155032,2,2
KMTS,198,0,0.0,1,100.0,3,100.0,6,66.66666666666666,18,55.55555555555556,1,100.0,24,50.0,5,80.0,1563.6790913930806,3,4
CRNC,250,1,0.0,4,50.0,11,72.72727272727273,3,66.66666666666666,30,46.666666666666664,0,0.0,87,44.827586206896555,10,80.0,1534.877272602639,3,3
QUBT,250,0,0.0,1,100.0,4,75.0,2,100.0,31,54.83870967741935,0,0.0,95,45.26315789473684,26,76.92307692307693,1531.2985913171767,3,3
APP,250,2,100.0,1,100.0,1,0.0,1,100.0,14,42.857142857142854,0,0.0,45,68.88888888888889,10,90.0,1524.2437783919675,3,3
SERV,250,6,83.33333333333334,3,33.33333333333333,3,33.33333333333333,0,0.0,27,40.74074074074074,0,0.0,89,47.19101123595505,24,62.5,1523.9372879767661,1,2
