date,open,high,low,close,volume
2025-08-28,647.24,649.48,645.34,648.92,61519461
2025-08-29,647.47,647.84,643.14,645.05,74522195
2025-09-02,637.5,640.49,634.92,640.27,81983555
2025-09-03,642.67,644.21,640.46,643.74,70820898
2025-09-04,644.42,649.15,643.51,649.12,65219230
2025-09-05,651.48,652.21,643.33,647.24,85178945
2025-09-08,648.62,649.84,647.23,648.83,63133102
2025-09-09,648.97,650.86,647.22,650.33,66133859
2025-09-10,653.62,654.55,650.63,652.21,78034531
2025-09-11,654.18,658.33,653.59,657.63,69934359
2025-09-12,657.6,659.11,656.9,657.41,72780141
2025-09-15,659.64,661.04,659.34,660.91,63772406
2025-09-16,661.47,661.78,659.21,660.0,61168953
2025-09-17,660.01,661.72,654.3,659.18,101952203
2025-09-18,661.89,664.89,660.27,662.26,90459242
2025-09-19,662.33,664.55,660.37,663.7,97945617
2025-09-22,662.2,667.29,662.17,666.84,69452203
2025-09-23,666.72,667.34,661.98,663.21,81708875
2025-09-24,664.51,664.61,659.67,661.1,68082234
2025-09-25,657.94,659.4056,654.405,658.05,89622070
2025-09-26,659.51,662.37,657.88,661.82,69179211
2025-09-29,664.36,665.28,661.86,663.68,73499023
2025-09-30,662.93,666.65,661.61,666.18,86288031
2025-10-01,663.17,669.37,663.06,668.45,72545367
2025-10-02,670.45,670.565,666.78,669.22,56895992
2025-10-03,669.99,672.675,668.16,669.21,70494352
2025-10-06,671.62,672.51,669.455,671.61,54623262
2025-10-07,672.54,672.99,667.67,669.12,72020070
2025-10-08,670.25,673.2056,669.42,673.11,60702238
2025-10-09,673.53,673.94,669.21,671.16,66501938
2025-10-10,672.13,673.95,652.84,653.02,159422594
2025-10-13,660.65,665.13,659.7679,663.04,79560523
2025-10-14,657.17,665.83,653.17,662.23,88779562
2025-10-15,666.82,670.23,658.93,665.17,81702562
2025-10-16,666.82,668.71,657.11,660.64,110563297
2025-10-17,659.5,665.755,658.14,664.39,96500875
2025-10-20,667.32,672.21,667.27,671.3,60493352
2025-10-21,671.44,672.99,669.981,671.29,56249031
2025-10-22,672.0,672.0,663.3,667.8,80564008
2025-10-23,668.12,672.7101,667.8,671.76,65604461
2025-10-24,676.46,678.47,675.65,677.25,74356531
2025-10-27,682.73,685.54,682.115,685.24,63339793
2025-10-28,687.05,688.905,684.83,687.06,61738070
2025-10-29,688.72,689.7,682.87,687.39,85362211
2025-10-30,683.9,685.94,679.83,679.83,76335750
2025-10-31,685.04,685.08,679.24,682.06,87164117
2025-11-03,685.67,685.8,679.94,683.34,57315031
2025-11-04,676.11,679.96,674.58,675.24,78426969
2025-11-05,674.98,680.86,674.17,677.58,74402383
2025-11-06,676.47,677.38,668.72,670.31,85035297
2025-11-07,667.91,671.08,661.205,670.97,100592398
2025-11-10,677.235,682.18,675.03,681.44,75842891
2025-11-11,679.95,683.57,678.73,683.0,58953391
2025-11-12,684.79,684.96,680.945,683.38,62312480
2025-11-13,680.5,680.86,670.52,672.04,103457797
2025-11-14,665.38,675.66,663.265,671.93,96846672
2025-11-17,669.7,673.71,662.17,665.67,90456109
2025-11-18,662.095,665.12,655.86,660.08,114467508
2025-11-19,660.78,667.34,658.745,662.63,94702961
2025-11-20,672.91,675.56,651.89,652.53,165293500
2025-11-21,655.05,664.55,650.85,659.03,123956203
2025-11-24,662.69,670.06,661.59,668.73,80437938
2025-11-25,668.63,676.21,664.48,675.02,81077088
