strategy,hold_days,regime,train_n,train_mean_net,train_t,train_win_rate,test_n,test_mean_net,test_t,test_win_rate,n_windows,train_p,test_p,train_significant_bh,test_significant_bh,both_significant_bh,same_direction,validated,kelly_size
Trend_AboveEMA200,20,BEAR,483.25,0.023695220015140704,3.7087062888637368,0.5673759232596444,183.25,0.06080624443157046,11.111752585041168,0.6062217194570135,4,0.00020832090273859016,0.0,True,True,True,True,True,0.23748114630467568
LowVol_Regime,20,ALL,1157.75,0.04949649364962844,12.513765310200544,0.6131283596612942,351.0,0.019358270855200956,8.186594582048723,0.5172784814892099,4,0.0,2.220446049250313e-16,True,True,True,True,True,0.1781856543261399
Momentum_60d_Positive,20,BEAR,409.75,0.016988383191061163,2.7281074310920665,0.5494673188780625,135.25,0.053844806860204424,6.575689342977303,0.601031746031746,4,0.006369885888428906,4.842837242335918e-11,True,True,True,True,True,0.23402116402116402
Momentum_20d_Positive,20,RANGE,381.25,0.0450378051456571,6.061277960571691,0.6075258259439367,76.75,0.05403964143190397,6.170239718354241,0.5257371794871795,4,1.3504422025079066e-09,6.818654529894275e-10,True,True,True,True,True,0.1838247863247863
Momentum_20d_Positive,20,BEAR,198.0,0.03386407185791162,3.4139322818140307,0.6005933385570633,65.5,0.044855566832905196,5.931102850115845,0.5569689834993774,4,0.0006403248900583858,3.009066329440202e-09,True,True,True,True,True,0.20464598899958494
LowVol_Regime,20,BULL,805.25,0.049953537471167875,10.78696712229948,0.6147697468527333,237.5,0.0061039993177635435,5.916625465367476,0.5122524640055337,4,0.0,3.2861382504023595e-09,True,True,True,True,True,0.17483497600368914
Trend_AboveEMA200,20,ALL,3453.5,0.03942848699016501,16.171071595544674,0.6001756984651327,873.0,0.010088249467944725,5.904409891436044,0.5044798637069854,4,0.0,3.539112336525818e-09,True,True,True,True,True,0.1696532424713236
Momentum_20d_Positive,20,ALL,2913.0,0.049656220518441735,18.446049027684076,0.6238921200841735,649.0,0.0006040651221675061,5.647754611231848,0.4853094718238639,4,0.0,1.6255698120914985e-08,True,True,True,True,True,0.0
LowVol_Regime,10,ALL,1157.75,0.03517369700880282,10.496042491463555,0.5877487742586278,360.5,0.014051726800013233,5.571064071425081,0.5081294801776546,4,0.0,2.5318818819286548e-08,True,True,True,True,True,0.1720863201184364
Momentum_20d_Positive,10,ALL,2913.0,0.035891356838434196,15.07945182950669,0.5986493488705692,654.25,0.006925339386048619,4.8621179748710315,0.4960642889464951,4,0.0,1.1613636783369685e-06,True,True,True,True,True,0.0
Trend_AboveEMA200,10,ALL,3453.5,0.026936545348960412,12.595640185892423,0.5731286234203263,909.25,0.010148637073189503,4.67435235365,0.5098247345610141,4,0.0,2.9488268626920444e-06,True,True,True,True,True,0.1732164897073427
Momentum_20d_Positive,10,BULL,2333.75,0.03993400880906477,14.872131299790974,0.6108643192852425,506.75,0.001973844950416687,4.00249353051341,0.49682960843259466,4,0.0,6.26783822728072e-05,True,True,True,True,True,0.0
Momentum_60d_Positive,20,ALL,3162.5,0.034646084160108434,13.605242159348336,0.5856186861450106,754.25,0.00500824128107516,3.929605402661552,0.49749934828504744,4,0.0,8.508537422113882e-05,True,True,True,True,True,0.0
MeanRev_After3Down,20,BEAR,159.0,0.04069246026908995,4.102435492514174,0.6309798521818366,58.75,0.05170911475337208,3.83068851544683,0.6339334833708428,4,4.088238566146707e-05,0.00012778518722833532,True,True,True,True,True,0.25
LowVol_Regime,20,BEAR,186.75,0.031368266020866856,3.660253380133426,0.5583859669746316,61.25,0.021798331110599742,3.828134929097877,0.6066118002544529,4,0.00025196596469534427,0.0001291179703815093,True,True,True,True,True,0.2377412001696353
Momentum_20d_Positive,10,RANGE,381.25,0.022794483564761468,3.468605799421546,0.5489446749529057,78.25,0.03875826546076497,3.644663082196268,0.5172275641025641,4,0.0005231664849549844,0.0002677423169588078,True,True,True,True,True,0.1781517094017094
