strategy,mean,n,t
After3pctLoss_H1,0.1568453389671568,408378,1.0248471349241564
After2ConsecLoss_H1,0.006317120029557824,91376,3.4725061087423996
After3ConsecLoss_H1,0.007380626557228468,25312,4.389572385386237
After3pctLoss_H5,0.07158842477005128,403162,1.1544456477438998
After2ConsecLoss_H5,0.013522745979982754,89855,6.574095073081183
After3ConsecLoss_H5,0.014174883486451455,24806,5.463154285489939
After3pctLoss_H10,0.19939386545643015,399677,1.889468694044103
After2ConsecLoss_H10,0.022531705231931987,89211,8.96684057878897
After3ConsecLoss_H10,0.024066177585097027,24675,7.247088606278048
After3pctLoss_H20,0.21860595394239205,392701,2.2372458104235617
After2ConsecLoss_H20,0.03318313950754922,87525,9.69935209638577
After3ConsecLoss_H20,0.030555171823387142,24269,4.217827312250494
Top10Vol_H1,0.15209341083432293,418207,1.0177159108786016
Top5Vol_H1,0.3021426428209909,209121,1.0109616182758798
HighVol_Downtrend_H1,0.3421104238363056,185408,1.0148921742056214
Top10Vol_H5,0.3373566918893761,414324,1.9178569341099043
Top5Vol_H5,0.6645357485018002,207169,1.8890006107328068
HighVol_Downtrend_H5,0.6769373216299973,182923,1.736212892509355
Top10Vol_H10,0.555152125272303,409308,3.0827247265683475
Top5Vol_H10,1.0907190745330493,204772,3.030132038580758
HighVol_Downtrend_H10,0.7524174397547354,180049,2.5084436185268344
Top10Vol_H20,0.9427429166359875,398257,3.9104748153038305
Top5Vol_H20,1.851416687934516,199754,3.8519528512061836
HighVol_Downtrend_H20,1.5231706094662638,174096,3.0308327587003405
WorstMonths_H1,0.0014437077005082085,1155084,22.477684255686963
September_H1,0.0020105504469413883,368062,16.091657811045977
October_H1,0.0002317073730413776,414762,2.51817576684591
WorstMonths_H5,0.0063176195057037905,1155084,43.31963557367786
September_H5,0.010909054185865652,368062,46.688184673803654
October_H5,-0.0003295366070573996,414762,-1.3788922896420077
WorstMonths_H10,0.010430634414297611,1155083,51.52191555181108
September_H10,0.017634313813892945,368062,60.36699443816178
October_H10,0.0008568360965513382,414761,2.3420194333134665
WorstMonths_H20,0.011585382898685735,1155062,42.312574537941735
September_H20,0.026773586110244028,368062,53.10487488311038
October_H20,-0.004764553226708992,414740,-9.809803448559462
ChaseTop10Mom_H1,0.0001618549946400121,417853,1.165869502118008
ChaseTop5Mom_H1,-2.68746632359883e-05,209033,-0.10947057904783493
BuyBottom10Mom_H1,0.0040496138625008005,418419,9.409594586550586
ChaseTop10Mom_H5,0.0793894463627986,413173,1.4629419703007545
ChaseTop5Mom_H5,0.1557799225876843,207013,1.4382820209638374
BuyBottom10Mom_H5,0.16369433923431265,415329,1.0877963409675067
ChaseTop10Mom_H10,0.12171353690721007,408469,1.830294057462851
ChaseTop5Mom_H10,0.23658574563659726,204803,1.783822605671312
BuyBottom10Mom_H10,0.20366253881052596,411187,1.9339738995720048
ChaseTop10Mom_H20,0.22654875972888025,401627,2.7246943314740726
ChaseTop5Mom_H20,0.4365531067151654,201395,2.632851307219904
BuyBottom10Mom_H20,0.4749267023214668,395166,2.3243818116819646
Friday_H1,0.0015364374592097283,881629,7.950822462243664
Monday_H1,0.00021840528985850365,824704,2.483512464759009
Friday_H5,0.022053119918203502,873158,1.1553286403603078
Monday_H5,0.02449292265790909,815203,1.19802165051168
Friday_H10,0.04455644722684862,863657,1.6326293529379756
Monday_H10,0.026305479158458163,805701,1.3821979130646733
Friday_H20,0.14457135674363236,844656,1.8075112020768727
Monday_H20,0.09436967170707151,786696,2.2273684195274406
10pctBelowMA50_H1,0.12235144443355957,525397,1.0285412012348218
10pctBelowMA50_H5,0.17952000035905524,519361,1.3850867386747807
10pctBelowMA50_H10,0.2100785283838001,512603,2.196342032893072
10pctBelowMA50_H20,0.4136144888043262,494240,2.4926367735289525
15pctBelowMA50_H1,0.19166657897856065,333718,1.0234134086089135
15pctBelowMA50_H5,0.27945719527935514,329280,1.3670235423333184
15pctBelowMA50_H10,0.32509614083000093,324690,2.152880417705822
15pctBelowMA50_H20,0.646691106786848,311401,2.4555236650230343
20pctBelowMA50_H1,0.28836464038094467,221105,1.020153899103272
20pctBelowMA50_H5,0.41895903241367755,217903,1.3562214660373686
20pctBelowMA50_H10,0.48565406156933755,214725,2.1269193037174685
20pctBelowMA50_H20,0.97253418878035,205159,2.4329038461155963
25pctBelowMA50_H1,0.42225115684756764,150508,1.0168471258805776
25pctBelowMA50_H5,0.612049450046778,148132,1.346888982319092
25pctBelowMA50_H10,0.7082921181404721,145778,2.10594929167168
25pctBelowMA50_H20,1.426635794186701,138883,2.415986996519576
30pctBelowMA50_H1,0.00833019117837681,104222,4.985298833056945
30pctBelowMA50_H5,0.6344399493204826,102482,1.0403049996001648
30pctBelowMA50_H10,0.7864675962331359,100769,1.8302696120859507
30pctBelowMA50_H20,1.9055764872017174,95794,2.260864009246649
BadMom_HighVol_H1,0.004496421535378589,316461,7.775012799721326
TripleBad_H1,0.008030567446280156,133374,6.137856268039818
BadMom_HighVol_H5,0.21352187316054644,313614,1.0714193979594933
TripleBad_H5,0.018228961875369796,131574,9.418458697452563
BadMom_HighVol_H10,0.265657835365159,309759,1.9004100870429905
TripleBad_H10,0.41194195490065044,129971,1.5143732778926895
BadMom_HighVol_H20,0.6289333433469212,297208,2.315086265489434
TripleBad_H20,0.39268878842744936,125934,1.5733158246712016
