strategy,period,std_dev,signal,hold,n_tickers,avg_net,win_rate,t_stat,p_value
BB30_STD1.5_lower_touch_H15,30,1.5,lower_touch,15,979,0.018585435898845377,0.8069458631256384,11.923299831091532,1.0683037796848164e-30
BB30_STD2.0_lower_touch_H15,30,2.0,lower_touch,15,961,0.021539508399695397,0.7877211238293444,11.781872928723512,5.0551399238359665e-30
BB25_STD1.5_lower_touch_H15,25,1.5,lower_touch,15,983,0.018038080885727482,0.8046795523906409,11.678004330541837,1.3481233324458035e-29
BB30_STD1.5_lower_touch_H10,30,1.5,lower_touch,10,979,0.012348292935678348,0.7906026557711952,11.161233795376912,2.601454501881679e-27
BB25_STD2.0_lower_touch_H15,25,2.0,lower_touch,15,967,0.020414094872349058,0.7786970010341262,10.976831671631198,1.6854330673331666e-26
BB25_STD1.5_lower_touch_H10,25,1.5,lower_touch,10,983,0.011433567945778624,0.7568667344862665,10.609646791293574,5.690334763167089e-25
BB30_STD2.5_lower_touch_H15,30,2.5,lower_touch,15,917,0.028319714947581894,0.7982551799345693,10.379739615881178,6.127748698778089e-24
BB20_STD1.5_lower_touch_H15,20,1.5,lower_touch,15,991,0.017462549709568648,0.8002018163471241,10.356585094312283,6.186133746450071e-24
BB30_STD3.0_lower_touch_H15,30,3.0,lower_touch,15,666,0.02899728203345024,0.7807807807807807,9.978449616739335,6.037111115390076e-22
BB30_STD2.0_lower_touch_H10,30,2.0,lower_touch,10,961,0.012577036867768936,0.7502601456815817,9.870720726170346,5.93358262637225e-22
BB25_STD2.0_lower_touch_H10,25,2.0,lower_touch,10,967,0.011886961251660494,0.7321613236814891,9.48273418716295,1.8588884941638697e-20
BB25_STD2.5_lower_touch_H15,25,2.5,lower_touch,15,927,0.027178805314054547,0.7820927723840345,9.417116288542964,3.573626853273189e-20
BB20_STD2.0_lower_touch_H15,20,2.0,lower_touch,15,973,0.020371608567453642,0.7944501541623844,9.329765400848832,6.969989292481801e-20
BB15_STD1.5_lower_touch_H15,15,1.5,lower_touch,15,995,0.014508566987819407,0.7879396984924623,9.198357256560897,2.0812752439118924e-19
BB30_STD2.5_lower_touch_H10,30,2.5,lower_touch,10,917,0.015055131135148333,0.7470010905125409,8.816243563093431,5.872001516105455e-18
BB15_STD2.5_lower_touch_H15,15,2.5,lower_touch,15,940,0.019573667531567362,0.7712765957446809,8.613000182396185,2.9743863449970724e-17
BB20_STD1.5_lower_touch_H10,20,1.5,lower_touch,10,991,0.010912053060610723,0.7658930373360242,8.475414439406872,8.408263619637478e-17
BB15_STD1.5_lower_touch_H10,15,1.5,lower_touch,10,995,0.008855253045645443,0.7597989949748744,8.408798108938154,1.4242311458724804e-16
BB15_STD2.0_lower_touch_H15,15,2.0,lower_touch,15,981,0.016902222797818733,0.7951070336391437,8.254572429490155,4.890155508010015e-16
BB25_STD2.5_lower_touch_H10,25,2.5,lower_touch,10,927,0.014232401239751277,0.7216828478964401,8.161372108636957,1.075582299510744e-15
BB30_STD1.5_lower_touch_H5,30,1.5,lower_touch,5,979,0.005119902520509973,0.7568947906026557,8.136658421107965,1.2266088410506176e-15
BB10_STD1.5_lower_touch_H15,10,1.5,lower_touch,15,999,0.011897938189883285,0.7897897897897898,7.90123801547244,7.266664960344034e-15
BB20_STD2.5_lower_touch_H10,20,2.5,lower_touch,10,932,0.012683830307549443,0.7188841201716738,7.803256304481316,1.616606315138721e-14
BB30_STD3.0_lower_touch_H10,30,3.0,lower_touch,10,666,0.016699571853453124,0.7342342342342343,7.654064699852282,6.872204765783063e-14
BB10_STD1.5_lower_touch_H10,10,1.5,lower_touch,10,999,0.007346648709986052,0.7607607607607607,7.139331029061634,1.8039562429513466e-12
BB20_STD2.0_lower_touch_H10,20,2.0,lower_touch,10,973,0.011911238322517136,0.7482014388489209,6.679856518677414,4.019624195370159e-11
BB30_STD2.0_lower_touch_H5,30,2.0,lower_touch,5,961,0.005713221933174474,0.7221644120707597,6.6211463851633185,5.922867040990151e-11
BB25_STD1.5_lower_touch_H5,25,1.5,lower_touch,5,983,0.004690789006413139,0.7080366225839267,6.56921616758237,8.190232783432194e-11
BB20_STD1.5_lower_touch_H5,20,1.5,lower_touch,5,991,0.004081548895059274,0.722502522704339,6.41710373094126,2.1498220067292704e-10
BB30_STD3.0_lower_touch_H5,30,3.0,lower_touch,5,666,0.009659576961729506,0.6951951951951952,6.405124137585921,2.842253974600971e-10
BB15_STD2.0_lower_touch_H10,15,2.0,lower_touch,10,981,0.010276057209724911,0.7390417940876657,6.385524300820906,2.6334109844615387e-10
BB15_STD2.5_lower_touch_H10,15,2.5,lower_touch,10,940,0.009775079410934234,0.7031914893617022,6.172524674843716,9.98623283747388e-10
BB30_STD2.5_lower_touch_H5,30,2.5,lower_touch,5,917,0.008192549578040487,0.7044711014176663,6.09547171915132,1.6060374573680048e-09
BB15_STD1.5_lower_touch_H5,15,1.5,lower_touch,5,995,0.0032616838481729477,0.7175879396984924,6.09300310460793,1.5825471225958676e-09
BB25_STD2.0_lower_touch_H5,25,2.0,lower_touch,5,967,0.005227474529866319,0.7001034126163392,5.934269333154032,4.1098345079646726e-09
BB30_STD3.0_lower_touch_H3,30,3.0,lower_touch,3,666,0.006395572589823955,0.6546546546546547,5.9334237399954395,4.773641566333592e-09
BB30_STD1.5_lower_touch_H3,30,1.5,lower_touch,3,979,0.002785629340027253,0.7160367722165475,5.844119032400982,6.932018741619883e-09
BB25_STD3.0_lower_touch_H10,25,3.0,lower_touch,10,659,0.011737981972542708,0.6995447647951442,5.754678240156707,1.331046433802457e-08
BB10_STD2.0_lower_touch_H15,10,2.0,lower_touch,15,991,0.01109380792160386,0.7366296670030272,5.749918144978186,1.188789381791102e-08
BB30_STD2.5_lower_touch_H3,30,2.5,lower_touch,3,917,0.00538663501675809,0.6793893129770993,5.592938610364185,2.94721562573902e-08
BB25_STD2.5_lower_touch_H5,25,2.5,lower_touch,5,927,0.007761097896735325,0.6763754045307443,5.519802833027284,4.4069517668695e-08
BB20_STD2.0_lower_touch_H5,20,2.0,lower_touch,5,973,0.004333858168901749,0.6834532374100719,5.4963951261896815,4.952916729730896e-08
BB15_STD3.0_lower_touch_H15,15,3.0,lower_touch,15,648,0.018802469245965788,0.7314814814814815,5.487692039371963,5.8505804646726965e-08
BB15_STD2.0_lower_touch_H5,15,2.0,lower_touch,5,981,0.0036295329901232733,0.6717635066258919,5.463064379855752,5.9344884213980225e-08
BB30_STD2.0_lower_touch_H3,30,2.0,lower_touch,3,961,0.003338118819220342,0.663891779396462,5.356044257782901,1.0649040389340747e-07
BB10_STD2.5_lower_touch_H15,10,2.5,lower_touch,15,921,0.013575386635961646,0.6938110749185668,5.317483295408624,1.3213342122254237e-07
BB25_STD3.0_lower_touch_H15,25,3.0,lower_touch,15,659,0.029388891638498962,0.7769347496206374,5.302901131507292,1.5583152064167994e-07
BB20_STD3.0_lower_touch_H10,20,3.0,lower_touch,10,650,0.00987173697468558,0.6676923076923077,5.256789126452886,1.9919205432528626e-07
BB20_STD2.5_lower_touch_H5,20,2.5,lower_touch,5,932,0.006164771774300833,0.6598712446351931,5.133102504082982,3.469696241155175e-07
