strategy,mean,n,t
WeakRally5_H1,-0.0009441165422901636,165415,-6.220585663854494
OrderlyDecline5_H1,0.002724920294610791,209580,3.4825946324405828
StrongRally5_H1,0.0010098524539169358,203039,3.579845138190867
Panic5_H1,0.003650035987154891,189183,9.047181857737316
WeakRally5_H5,0.003517274247722832,164562,5.179790395628813
OrderlyDecline5_H5,0.00832198500471434,207375,9.130945581189835
StrongRally5_H5,0.08595501352142976,201403,1.0387220337006549
Panic5_H5,0.3470255559010386,187101,1.03887377095974
WeakRally5_H10,0.009649334009226946,162937,11.589971301057012
OrderlyDecline5_H10,0.015546531379295429,206120,14.715912587503041
StrongRally5_H10,0.08936854265139557,198449,1.0641134292165604
Panic5_H10,0.4272758253411722,185428,1.8297719177887766
WeakRally10_H1,0.0001005799341298795,253033,0.6243000183181359
OrderlyDecline10_H1,0.0021542455499165562,294107,9.675827513154182
StrongRally10_H1,0.0005128293972022183,265674,2.42799222575222
Panic10_H1,0.24770463251149777,256022,1.0146978472976105
WeakRally10_H5,0.0030578366494206466,251761,8.74957824152782
OrderlyDecline10_H5,0.009073138001486238,292407,15.775184685255292
StrongRally10_H5,0.002359156340978293,262579,5.600092903570791
Panic10_H5,0.11030837345035555,253445,1.1182745308324542
WeakRally10_H10,0.23717870243990133,245469,1.3147149905010653
OrderlyDecline10_H10,0.1595616831347612,290800,1.5443367723946697
StrongRally10_H10,0.00427834268721728,258934,6.900235348676305
Panic10_H10,0.11330805778339932,252114,1.2419797721687322
WeakRally20_H1,-4.972688034583771e-05,330758,-0.4699791703288285
OrderlyDecline20_H1,0.001818670024897374,369575,9.607903184557395
StrongRally20_H1,0.00046588613468119696,335102,3.0578691452584277
Panic20_H1,0.003523652073515663,317037,6.703370686080236
WeakRally20_H5,0.05336655978198301,327317,1.0481168812438078
OrderlyDecline20_H5,0.006330722878151019,367115,14.221193588886583
StrongRally20_H5,0.04796891403439415,331997,1.0617423943975564
Panic20_H5,0.2103181929355319,315021,1.0600821164089205
WeakRally20_H10,0.05293117536960551,323497,1.1167583963436662
OrderlyDecline20_H10,0.010144427701611718,363395,16.330997969164823
StrongRally20_H10,0.1024134451546551,328591,1.5008660199783663
Panic20_H10,0.2609299855123226,312352,1.8822411794870602
RejectionHigh_H1,0.09155512733130759,696031,1.0196191011354985
RejectionLow_H1,0.00012278650744078153,669870,1.045223093913439
GapUpUnfilled_H1,0.0006459631266069568,137140,2.4761849968288305
RejectionHigh_H5,0.041984270698423976,690159,1.1590415887233942
RejectionLow_H5,0.02863373470088071,665225,1.1428559151515465
GapUpUnfilled_H5,0.0037520821706748695,136446,6.699985996098425
RejectionHigh_H10,0.12739781496567823,682262,1.7418485244492428
RejectionLow_H10,0.14548297358572648,658906,1.910872857114566
GapUpUnfilled_H10,0.007354586520489525,135448,7.73846495678919
AccelUp5_H1,0.0005614782602270533,682031,5.723478771948932
DecelUp5_H1,0.0005781626016848431,179586,3.625172479740396
AccelDn5_H1,0.0021432669017637665,676017,8.154329669132899
DecelDn5_H1,0.0024073943896813985,180871,8.101961677302972
AccelUp5_H5,0.02898050674479124,677608,1.1782295970086656
DecelUp5_H5,0.0036311848051862818,178289,9.00074167195095
AccelDn5_H5,0.10085161308290877,668104,1.0780783470978486
DecelDn5_H5,0.009406083159864824,179892,11.982809931245722
AccelUp5_H10,0.03364539168198206,672546,1.3576065954192074
DecelUp5_H10,0.00632355478568161,172941,10.834459157242675
AccelDn5_H10,0.12728108682938472,660705,1.9421262396317256
DecelDn5_H10,0.018062283233799842,179059,17.781998490358276
AccelUp5_H20,0.14120957030477188,646700,2.643997953501157
DecelUp5_H20,0.014934631853817678,169179,18.356525962156102
AccelDn5_H20,0.3074727838434493,649949,2.4819654363378705
DecelDn5_H20,0.025025174118094316,174570,11.416086360813873
AccelUp10_H1,0.0003894672699056608,854077,4.37214883140728
DecelUp10_H1,0.0007111874983505617,228498,6.266996654591555
AccelDn10_H1,0.07688061085176241,835185,1.0273646617949659
DecelDn10_H1,0.0017803568082360938,224473,9.464965266704457
AccelUp10_H5,0.0024353647505770785,848932,13.900452192649224
DecelUp10_H5,0.003128807367155327,225603,11.219249859321899
AccelDn10_H5,0.11318673737208067,827424,1.3912965761714255
DecelDn10_H5,0.008793862720371045,223095,10.843018662321969
AccelUp10_H10,0.07319666577908789,830111,1.3720898237121093
DecelUp10_H10,0.005672290724361901,224079,14.725736023943972
AccelDn10_H10,0.122966830978184,823359,2.2325128730982406
DecelDn10_H10,0.014032440288975767,220972,11.319424725608027
AccelUp10_H20,0.12774144092713033,808230,2.800294275358892
DecelUp10_H20,0.012657643822459477,220510,17.602845898033674
AccelDn10_H20,0.22206619992851723,810688,2.3348162428360983
DecelDn10_H20,0.017354221718738655,212407,10.19294315756984
AccelUp20_H1,0.00018003512887264486,932498,2.564665233987157
DecelUp20_H1,0.00031445323141381586,284812,3.3804388728497825
AccelDn20_H1,0.0019600317119420566,934984,18.18087703568681
DecelDn20_H1,0.0010780755748245503,256279,1.7527030776043475
AccelUp20_H5,0.03621341069278501,920560,1.4867961308934339
DecelUp20_H5,0.0025462855157259595,282980,11.515018006004839
AccelDn20_H5,0.07473496932876993,930417,1.1125649239017321
DecelDn20_H5,0.003588549998132007,252578,3.987717950022147
AccelUp20_H10,0.05591064814093727,909259,1.8715484953170405
DecelUp20_H10,0.005504333113558813,280034,16.716078352116256
AccelDn20_H10,0.09360876027602104,923589,1.996634306833557
DecelDn20_H10,0.009343816241300902,248366,10.155384695852185
AccelUp20_H20,0.10388089111836844,891123,2.772061730618029
DecelUp20_H20,0.015156114946195431,276953,23.96954188323073
AccelDn20_H20,0.21420458060056263,896280,2.3777950761530096
DecelDn20_H20,0.018714130542231144,242272,15.024442391436697
