strategy,mean,n,t
AfterMktUp_H1,0.0011476562617410992,1366090,18.21590345838158
AfterMktDn_H1,0.0009219387530969805,1014426,17.043029272254092
AfterStrongMktUp_H1,0.0016426345798300117,618479,16.470541770586603
AfterStrongMktDn_H1,0.0014886574815336044,429858,17.108634267166316
AfterMktUp_H5,0.0028958620397496033,1366078,21.678701213345356
AfterMktDn_H5,0.003412038536013032,987291,15.987269430784874
AfterStrongMktUp_H5,0.004493805041490543,618479,21.703722042715334
AfterStrongMktDn_H5,0.00880697154090709,411889,25.407949079604418
AfterMktUp_H10,0.04761264499969242,1345724,1.9079927281598983
AfterMktDn_H10,0.00786582102718455,987286,29.801461686950816
AfterStrongMktUp_H10,0.0731817289158221,618469,1.5524734371730826
AfterStrongMktDn_H10,0.01678354105235765,411886,36.45407407449275
AfterMktUp_H20,0.07375293042765026,1280589,2.5947690791178313
AfterMktDn_H20,0.11260481826536264,966924,1.6378818167402036
AfterStrongMktUp_H20,0.08245722985218033,580478,1.8473105441786677
AfterStrongMktDn_H20,0.10608965402869351,392881,1.8404029615261
Up5DaysAgo_H1,0.0011308593363347497,578172,3.9103610213542352
Down5DaysAgo_H1,0.10226225239276829,619201,1.0131493517754602
Up5DaysAgo_H5,0.03325989969424834,573270,1.1439725799175828
Down5DaysAgo_H5,0.07491572303813614,614831,1.5330207267915548
Up5DaysAgo_H10,0.03485240512846211,566558,1.2876503728175883
Down5DaysAgo_H10,0.14707790528762224,609909,1.7789153320067694
Up5DaysAgo_H20,0.10644624006927644,552570,1.9063539178237408
Down5DaysAgo_H20,0.14452934173126475,594063,2.4845946441374807
Up10DaysAgo_H1,0.0007369941797885654,571664,6.128324947067676
Down10DaysAgo_H1,0.0018856369740071841,614147,6.509791073227829
Up10DaysAgo_H5,0.003651378885659336,566558,11.78620115468485
Down10DaysAgo_H5,0.10962689697821175,609909,1.0698070106508903
Up10DaysAgo_H10,0.03916224970664508,556325,1.3071579618458133
Down10DaysAgo_H10,0.053034271252444386,604330,1.2819497422121897
Up10DaysAgo_H20,0.2359160503238774,545757,1.8156876682553533
Down10DaysAgo_H20,0.15064870864972232,587297,2.2744447234034926
Up20DaysAgo_H1,0.0007732143053182321,555565,6.84792576041272
Down20DaysAgo_H1,0.0017473992131378426,602743,6.006370363292908
Up20DaysAgo_H5,0.03503604570248157,552570,1.161599012958583
Down20DaysAgo_H5,0.059481104105473095,594063,1.5758679954000587
Up20DaysAgo_H10,0.1638907489424529,545757,1.7412142101455745
Down20DaysAgo_H10,0.09084166188965094,587297,1.9639979755022339
Up20DaysAgo_H20,0.10644574086605063,534287,1.9873393295100086
Down20DaysAgo_H20,0.09673482527200812,572436,2.323970850871273
Near20High_H1,2.918870407557117e-05,1346848,0.9805765506941533
Near20Low_H1,0.0629338318675408,1009694,1.0167182392292433
NewHigh20_H1,-0.00019431415512854828,332569,-1.6301017618446405
NewLow20_H1,0.24977653403478114,253213,1.0119591522889457
Near20High_H5,0.000719555289254573,1333548,11.396262791938298
Near20Low_H5,0.09076684653852979,1000734,1.3494129621442377
NewHigh20_H5,0.0009046527345518431,330613,3.7328189472815616
NewLow20_H5,0.3590142164320443,250995,1.338672883998947
Near20High_H10,0.0022205563183663535,1312872,24.07424029349438
Near20Low_H10,0.10489107880627911,991134,2.120411672520373
NewHigh20_H10,0.0025204389288003407,324971,7.255348033410863
NewLow20_H10,0.4097980107816725,249144,2.0824255787012103
Near20High_H20,0.025325565724574072,1280964,1.835190700510441
Near20Low_H20,0.20732071267527488,967880,2.446795515987507
NewHigh20_H20,0.08721760017035848,318412,1.571034045492564
NewLow20_H20,0.8110512546667459,242914,2.4023507782614364
NearRound_H1,0.1285587283841116,489879,1.0076642923894394
Near5s_H1,0.13175731524573642,479332,1.0105002803352463
Near10s_H1,0.13921648158813535,455149,1.013840062011825
NearRound_H5,0.2822857323931691,485822,1.8817210724385114
Near5s_H5,0.2902302439054833,475284,1.892709349702059
Near10s_H5,0.30850507687037493,450964,1.9089388266388052
NearRound_H10,0.46145493095387596,480856,3.010381288699204
Near5s_H10,0.4758547072347036,470266,3.0359394631800054
Near10s_H10,0.5072454114004141,445704,3.06718196020564
NearRound_H20,0.7804918096949811,470963,3.8285367400973565
Near5s_H20,0.8047858561440893,460201,3.857490064545789
Near10s_H20,0.860862982163885,435257,3.9026226106950745
AccelUp_H1,0.05741975609192223,1118284,1.0274006010162504
Decel_H1,0.0008468307911343271,1122168,5.618549320047313
Rocket_H1,-0.0005755669726335884,73138,-1.1836524286184216
AccelUp_H5,0.04464928503223356,1111450,1.6516313257051818
Decel_H5,0.0029563842429699027,1111701,15.119941484615124
Rocket_H5,0.0032082398738041223,72684,2.7496678985976963
AccelUp_H10,0.08686337236300767,1105944,2.3234418088134734
Decel_H10,0.08075370357243009,1089661,1.7303633416474087
Rocket_H10,0.009168848967380162,72029,4.418476477637806
AccelUp_H20,0.1282942356318452,1070644,3.2061470788783493
Decel_H20,0.08261901445532543,1069855,2.487064492974021
Rocket_H20,0.37720513100781544,69352,1.479908851564782
WeakRally_H1,0.00036535281933433496,265525,1.997345533901294
Panic_H1,0.0035206550050267114,251332,5.399397006439011
Apathy_H1,0.20485055667365298,309021,1.0128652947500572
WeakRally_H5,0.0027210728951075755,263730,7.468111371827722
Panic_H5,0.011931384178615764,249493,11.390091317506425
Apathy_H5,0.29521475565867517,306367,1.3436263155587829
WeakRally_H10,0.003534491344334688,255921,6.12739415870766
Panic_H10,0.023844006344623688,248353,19.21147640688727
Apathy_H10,0.309872044086949,304319,2.0793789115639436
WeakRally_H20,0.013299909793015263,248939,18.428367470830402
Panic_H20,0.3941842540002955,243711,1.4271295907384896
Apathy_H20,0.2684805501541172,296426,2.1164385854507177
