category,strategy,avg_return,n_samples,t_stat,significant
PV_DIV,WeakRally_5_H1,-0.0010775170577323313,134485,-6.169553832414204,True
PV_DIV,PanicSell_5_H1,0.003650035987154891,189183,9.047181857737316,True
PV_DIV,ConfirmedRally_5_H1,0.0009348466314011578,240556,3.853902803057187,True
PV_DIV,QuietDecline_5_H1,0.002915150613266006,175974,3.1430775049644084,True
PV_DIV,WeakRally_5_H5,0.004166398421803882,133830,5.122769304253365,True
PV_DIV,PanicSell_5_H5,0.3470255559010386,187101,1.03887377095974,False
PV_DIV,ConfirmedRally_5_H5,0.07303317074435953,238503,1.0451406469864288,False
PV_DIV,QuietDecline_5_H5,0.008408443115725653,174169,7.8800142636589054,True
PV_DIV,WeakRally_5_H10,0.01070014453444361,132564,10.924195750282367,True
PV_DIV,PanicSell_5_H10,0.4272758253411722,185428,1.8297719177887766,False
PV_DIV,ConfirmedRally_5_H10,0.07649591954710443,235031,1.0787373002570844,False
PV_DIV,QuietDecline_5_H10,0.015649421514160416,173117,12.806295274348008,True
PV_DIV,WeakRally_10_H1,9.763806711801545e-05,207833,0.5093158102131485,False
PV_DIV,PanicSell_10_H1,0.24770463251149777,256022,1.0146978472976105,False
PV_DIV,ConfirmedRally_10_H1,0.0006003757048393544,315792,3.133439288737483,True
PV_DIV,QuietDecline_10_H1,0.0022231088943050832,249275,9.331096355755328,True
PV_DIV,WeakRally_10_H5,0.003541872291745882,206854,8.596603355067556,True
PV_DIV,PanicSell_10_H5,0.11030837345035555,253445,1.1182745308324542,False
PV_DIV,ConfirmedRally_10_H5,0.0024372709048028746,312184,6.5828479353728016,True
PV_DIV,QuietDecline_10_H5,0.00919813876460896,247851,14.131189820086973,True
PV_DIV,WeakRally_10_H10,0.2876028872255113,201705,1.3099947499079363,False
PV_DIV,PanicSell_10_H10,0.11330805778339932,252114,1.2419797721687322,False
PV_DIV,ConfirmedRally_10_H10,0.004730976031409291,307603,8.672340677854404,True
PV_DIV,QuietDecline_10_H10,0.18556926028288148,246489,1.5223819855495602,False
PV_DIV,WeakRally_20_H1,-0.00017383525974626687,273829,-1.5484648368949778,False
PV_DIV,PanicSell_20_H1,0.003523652073515663,317037,6.703370686080236,True
PV_DIV,ConfirmedRally_20_H1,0.0004397141879092142,396758,3.344510485260232,True
PV_DIV,QuietDecline_20_H1,0.001936196006014716,314517,8.817877574563514,True
PV_DIV,WeakRally_20_H5,0.06394129071658854,271105,1.0401391330827645,False
PV_DIV,PanicSell_20_H5,0.2103181929355319,315021,1.0600821164089205,False
PV_DIV,ConfirmedRally_20_H5,0.04084517430193838,392799,1.0696350215757717,False
PV_DIV,QuietDecline_20_H5,0.006354823311328137,312428,12.562230523422656,True
PV_DIV,WeakRally_20_H10,0.06280567794331482,268053,1.0979903238256323,False
PV_DIV,PanicSell_20_H10,0.2609299855123226,312352,1.8822411794870602,False
PV_DIV,ConfirmedRally_20_H10,0.08742812537822837,388651,1.5154418472197833,False
PV_DIV,QuietDecline_20_H10,0.009735532863713524,309189,14.818908206017955,True
VOL_REGIME,VolExpand_H1,0.0008057387960420898,129902,2.2573171694263414,False
VOL_REGIME,VolContract_H1,0.0009133782795387932,352720,5.4649298947362555,True
VOL_REGIME,VolExpand_H5,0.003041420277421034,129080,5.214596346359596,True
VOL_REGIME,VolContract_H5,0.00443366840979175,350166,10.028815107831067,True
VOL_REGIME,VolExpand_H10,0.009127056902685528,128026,8.510142161914047,True
VOL_REGIME,VolContract_H10,0.008530670098575296,347258,14.755448273925388,True
