strategy,mean,n,t
YesterdayUp3_H1,0.0015136732553651124,375769,8.919098509267219
YesterdayDn3_H1,0.0017828748440066144,407022,4.058047852459321
2DaysAgoUp3_H1,0.0014943606245285792,375175,8.098595272786818
2DaysAgoDn3_H1,0.0020623332943623075,406194,10.115760013131924
YesterdayUp3_H5,0.04929577012075894,373374,1.1043580161027546
YesterdayDn3_H5,0.1626595335334154,402517,1.04758055753002
2DaysAgoUp3_H5,0.2167228697141257,372228,1.2471637698409026
2DaysAgoDn3_H5,0.044496780293232466,401920,1.192269555649161
YesterdayUp3_H10,0.12199669061878374,368976,1.4981771002719126
YesterdayDn3_H10,0.11944783834301204,399323,1.5874836764126277
2DaysAgoUp3_H10,0.11893653098269825,367444,1.4901691852306163
2DaysAgoDn3_H10,0.11957298820996216,398927,1.5875893832449819
YesterdayUp5_H1,0.0023098499513180956,191119,7.663736825389984
YesterdayDn5_H1,0.002364162401535809,197530,2.707924238593053
2DaysAgoUp5_H1,0.0019986281282694677,190808,6.021871969393876
2DaysAgoDn5_H1,0.002943872428208359,197149,8.719071447457862
YesterdayUp5_H5,0.09419781778420235,190015,1.073959174936792
YesterdayDn5_H5,0.3293260049973139,195041,1.0277233982693095
2DaysAgoUp5_H5,0.42289245363852696,189583,1.2394800056850506
2DaysAgoDn5_H5,0.08602103739907266,194722,1.116693715293845
YesterdayUp5_H10,0.23288291336333358,187862,1.4561213654627223
YesterdayDn5_H10,0.23342627588776602,193502,1.5033098564046472
2DaysAgoUp5_H10,0.22628327113303534,187041,1.4431855314662463
2DaysAgoDn5_H10,0.23412253675058958,193298,1.5062169379728445
YesterdayUp7_H1,0.002744301155218802,113195,6.152743150901938
YesterdayDn7_H1,0.003575846756882037,105496,2.216180421940043
2DaysAgoUp7_H1,0.002243552654228707,113003,4.466257129502756
2DaysAgoDn7_H1,0.003088986503666522,105300,5.418780288184043
YesterdayUp7_H5,0.15576410797950785,112540,1.051807864845453
YesterdayDn7_H5,0.6114676447829513,104078,1.0182560987328444
2DaysAgoUp7_H5,0.7109309174323417,112318,1.2344901430505162
2DaysAgoDn7_H5,0.1550160942715643,103900,1.0737715296741166
YesterdayUp7_H10,0.38747918347760313,111270,1.4349936498459372
YesterdayDn7_H10,0.42303347765446564,103227,1.4534067104057344
2DaysAgoUp7_H10,0.3764996908429338,110810,1.4225877782914607
2DaysAgoDn7_H10,0.4230492148837259,103094,1.4515993633782764
YesterdayUp10_H1,0.0028282046796130893,60336,3.7877025406556055
YesterdayDn10_H1,0.00846960778384847,46718,2.352065411185017
2DaysAgoUp10_H1,0.002921529767739373,60218,3.278322863091945
2DaysAgoDn10_H1,0.004281153910861254,46625,3.7666866436474074
YesterdayUp10_H5,0.2850196267933632,59960,1.0254302314710817
YesterdayDn10_H5,1.3717991025345735,46070,1.0111928972761008
2DaysAgoUp10_H5,1.328074346150077,59845,1.2287473381486276
2DaysAgoDn10_H5,0.3381761819409029,45984,1.036764072429565
YesterdayUp10_H10,0.7126649722293111,59287,1.4062881088906902
YesterdayDn10_H10,0.9340831110370486,45679,1.420131839876028
2DaysAgoUp10_H10,0.6920693050270216,59078,1.394173465677717
2DaysAgoDn10_H10,0.9311689979277925,45609,1.4135443568798443
AfterReversal_H1,0.0004793622551881199,2208934,12.983432374245542
AfterDoubleReversal_H1,0.000753028789912092,1129711,14.051225011478282
ReversalAfterBigMove_H1,0.0009003601792692705,410492,5.510343671993729
AfterReversal_H5,0.017140911604678063,2190810,1.674778508592803
AfterDoubleReversal_H5,0.01775325019304269,1121014,1.1941077300811398
ReversalAfterBigMove_H5,0.04535527289802879,407349,1.108538677726018
AfterReversal_H10,0.04040936961260907,2168041,2.2941771024727675
AfterDoubleReversal_H10,0.04383343957385296,1110193,1.6196397278813632
ReversalAfterBigMove_H10,0.15543782146423282,403343,1.8247373748982554
HighVolSmallMove_H1,0.0008801675594731264,130165,7.170030588348315
LowVolBigMove_H1,0.0008271936301336552,136123,2.2886435900316484
VolSpikeNoMove_H1,0.0012049018057163133,41092,4.730114706234884
HighVolSmallMove_H5,0.002556847573671724,128866,13.455746380294649
LowVolBigMove_H5,0.005028124506620344,135003,5.1401631999451505
VolSpikeNoMove_H5,0.002555163364239505,40626,6.857049439810387
HighVolSmallMove_H10,0.004930808644741085,127253,16.213688995634993
LowVolBigMove_H10,0.19983470871924103,133774,1.0693085346380382
VolSpikeNoMove_H10,0.00449384803969774,40081,9.189299159482113
NearRoundNumber_H1,0.06871185033467543,924320,1.0161998836566055
NearRoundNumber_H5,0.15259259110707532,916042,1.9179436026090788
NearRoundNumber_H10,0.25110128888237454,905751,3.085531814302725
