strategy,hold,regime,train_t_mean,train_t_std,n_windows,test_t_mean,test_t_std,train_mean,test_mean,train_n_total,test_n_total,test_mean_net,same_direction,win_rate,p_value,rank,bh_threshold,bh_significant,validated,validated_bh,final_validated
AboveEMA200,20,ALL,10.313855003402903,14.932162812648127,21,7.006910480361099,12.567890434166639,0.005119193671191741,0.005371622131533456,115025,29578,0.004371622131533456,True,0.6666666666666666,2.488453887394826e-12,1,8.818342151675486e-05,True,True,True,True
AboveEMA200,20,RANGE,10.199130076906544,13.256943712270157,21,6.842476394795927,10.886630912018541,0.005896855882971111,0.0054545462278293,89158,23224,0.0044545462278293,True,0.7619047619047619,7.977174476536675e-12,2,0.0001763668430335097,True,True,True,True
AboveEMA100,20,RANGE,9.631919057989922,12.226501686526623,21,6.3329108046936105,10.4426483636605,0.006263206976877625,0.00415691802577738,85416,22165,0.00315691802577738,True,0.7142857142857143,2.451971958805643e-10,3,0.00026455026455026457,True,True,True,True
AboveEMA100,20,ALL,9.285822519523423,14.440641751104655,21,6.215788903843855,12.230734063032136,0.004726457459223972,0.0043542023787859225,111972,28631,0.0033542023787859225,True,0.6666666666666666,5.177134276834749e-10,4,0.0003527336860670194,True,True,True,True
Mom_60d_Pos,20,RANGE,7.988929283234656,1a2.17758554837985,21,5.388031758822986,11.433785644195742,0.004959512762692066,0.002691721131236001,82181,21468,0.001691721131236001,True,0.6666666666666666,7.198339724290292e-08,5,0.0004409171075837742,True,True,True,True
Mom_60d_Pos,20,ALL,7.105312643222076,14.197769851541507,21,5.077620841803656,13.419603899270497,0.003194523899714997,0.0035653286514791913,107631,27661,0.0025653286514791913,True,0.6666666666666666,3.8466860829977634e-07,9,0.0007936507936507937,True,True,True,True
AboveEMA200_BullRibbon,20,ALL,7.454001386854189,12.668093469081795,21,4.824784912107394,12.086923023001548,0.00382536641952663,0.00254987878131335,80268,20692,0.0015498787813133501,True,0.6666666666666666,1.4115247652934926e-06,10,0.0008818342151675485,True,True,True,True
AboveEMA50,20,RANGE,6.917262840670908,10.593937905945603,21,4.763982139064375,9.784638859346996,0.0047284735105670205,0.0036339992142613462,79697,20671,0.0026339992142613462,True,0.6666666666666666,1.910977507568745e-06,11,0.0009700176366843034,True,True,True,True
AboveEMA200_BullRibbon,20,RANGE,6.989759405651106,10.689865347827253,21,4.654209458822025,10.1494205466072,0.004456035047255203,0.0011751201392419144,60518,15863,0.0001751201392419144,True,0.7142857142857143,3.2785786678868334e-06,12,0.0010582010582010583,True,True,True,True
AboveEMA50,20,ALL,6.8245089097672595,13.280230319987627,21,4.617538534940088,11.704215167588828,0.0035865329719362155,0.0030262836040559175,107277,27257,0.0020262836040559175,True,0.6190476190476191,3.900902546760676e-06,13,0.001146384479717813,True,True,True,True
