strategy,mean_return,n,t_stat,significant,hypothesis,law,regime
After_3pct_UP_H1,-0.0006490993091387597,376153,-3.6958952921048374,True,GRAVITY_DOWN,,
After_3pct_DN_H1,0.1568453389671568,408378,1.0248471349241564,False,GRAVITY_UP,,
After_3pct_UP_H2,0.0005526300829408777,375769,2.331247720192951,False,MOMENTUM_UP,,
After_3pct_DN_H2,0.060380422052900916,407022,1.0922618286613213,False,GRAVITY_UP,,
After_3pct_UP_H3,0.0017667946493699427,375175,6.03166288034478,True,MOMENTUM_UP,,
After_3pct_DN_H3,0.06819113642983322,406194,1.1079461871615472,False,GRAVITY_UP,,
After_3pct_UP_H5,0.042726464603866116,374393,1.066453882630312,False,MOMENTUM_UP,,
After_3pct_DN_H5,0.07158842477005128,403162,1.1544456477438998,False,GRAVITY_UP,,
After_3pct_UP_H10,0.09717365628914505,370141,1.5260105422378256,False,MOMENTUM_UP,,
After_3pct_DN_H10,0.19939386545643015,399677,1.889468694044103,False,GRAVITY_UP,,
After_3pct_UP_H20,0.13260641521029343,358812,1.9500626072870286,False,MOMENTUM_UP,,
After_3pct_DN_H20,0.21860595394239205,392701,2.2372458104235617,False,GRAVITY_UP,,
After_3pct_UP_H40,0.23781055830390183,344383,2.7699374817237494,False,MOMENTUM_UP,,
After_3pct_DN_H40,0.38394644383256116,371197,3.0493476011241887,True,GRAVITY_UP,,
After_5pct_UP_H1,-0.0011227304063877435,191318,-3.567843055569559,True,GRAVITY_DOWN,,
After_5pct_DN_H1,0.321169080012984,198231,1.018663016270379,False,GRAVITY_UP,,
After_5pct_UP_H2,0.000717829158159919,191119,1.6921492521529105,False,MOMENTUM_UP,,
After_5pct_DN_H2,0.12129447780974667,197530,1.0648502865113694,False,GRAVITY_UP,,
After_5pct_UP_H3,0.0022534457675759184,190808,4.317202173468279,True,MOMENTUM_UP,,
After_5pct_DN_H3,0.13622503055482185,197149,1.0742634393782289,False,GRAVITY_UP,,
After_5pct_UP_H5,0.0821679440163499,190430,1.0431781064979158,False,MOMENTUM_UP,,
