,Leader,Follower,Description,Direction,Lag,Correlation,Strat_Total,BH_Total,Strat_Sharpe,BH_Sharpe,Excess_Sharpe,Verdict
0,CL,XLE,Crude Oil → Energy,same,5,0.0003257879661614772,-0.9808232090390672,91.1879211803425,-0.03451977409965679,0.2453264109830254,-0.2798461850826822,LOSE
1,CL,XLI,Crude Oil → Industrials,same,5,0.027652565702733133,-0.9219929085046379,19419.63183696994,-0.05056387468134572,0.5262544622337016,-0.5768183369150474,LOSE
2,GC,XLF,Gold (risk-off) → Financials,inverse,5,0.020370756703810642,-0.9776842490227681,6879.282657887026,-0.08756966081037228,0.45060972013498124,-0.5381793809453536,LOSE
3,GC,XLU,Gold (defensive) → Utilities,same,5,0.044130252865784286,5.778488401024646,2558.7473717600146,0.16009243034592235,0.474366119088444,-0.31427368874252165,LOSE
4,GC,TLT,Gold → Treasuries,same,5,0.02247244095508842,1.5451892982223012,7.97694097592942,0.10846493097695947,0.18477689459168278,-0.07631196361472331,LOSE
5,TNX,XLF,Yields up → Financials up,same,3,0.012026219279636879,1.8883449400960832,204.97306903247775,0.14890552859695547,0.44797708659679053,-0.2990715579998351,LOSE
6,TNX,TLT,Yields up → Bond prices down,inverse,3,0.07783788803490056,-0.8443405692253367,2.7261499127928523,-0.13280627033446935,0.18312275886665844,-0.31592902920112775,LOSE
7,UUP,EEM,Dollar up → EM down,inverse,5,-0.010648368280334327,-0.48210682835764784,15.039006390558615,0.04234744169555541,0.19335721472578668,-0.15100977303023128,LOSE
8,UUP,GLD,Dollar up → Gold down,inverse,5,0.02859946104498523,-0.9236351962008196,593.5664546575466,-0.0928208790212995,0.4189295790001273,-0.5117504580214268,LOSE
9,VIX,SPY,VIX spike → SPY down,inverse,5,0.0011672055055401513,0.6219854744613647,30307.300925418247,0.08395166654154865,0.6196052731873478,-0.5356536066457992,LOSE
