strategy,fast,slow,signal,hold,n_tickers,avg_net,win_rate,t_stat,p_value
MACD8_21_7_H20,8,21,7,20,998,0.011095387027228796,0.6843687374749499,7.51575117722331,1.257343275444194e-13
MACD8_26_7_H20,8,26,7,20,998,0.010837697276724182,0.6843687374749499,7.053593244561827,3.2571724318619387e-12
MACD8_21_9_H20,8,21,9,20,998,0.010889865997600936,0.685370741482966,6.8176740489525285,1.6005713303175506e-11
MACD8_30_7_H20,8,30,7,20,998,0.010580910978775435,0.6953907815631263,6.762552483064987,2.3060573403242516e-11
MACD16_30_7_H20,16,30,7,20,994,0.010161538383401138,0.6579476861167002,6.570852283044199,8.06248092378941e-11
MACD8_26_9_H20,8,26,9,20,998,0.010559504835813157,0.6843687374749499,6.550117176914069,9.195002953036661e-11
MACD8_21_7_H10,8,21,7,10,998,0.0055233248953524255,0.6743486973947895,6.543807403639263,9.574955537621343e-11
MACD12_21_7_H20,12,21,7,20,998,0.010578162385680571,0.6923847695390781,6.506060546365854,1.2190584157558737e-10
MACD8_35_7_H20,8,35,7,20,998,0.010413439553032523,0.6893787575150301,6.477628578029676,1.4610925694881174e-10
MACD8_21_11_H20,8,21,11,20,998,0.010620607972388096,0.6833667334669339,6.396838737390732,2.435133062209212e-10
MACD8_26_7_H10,8,26,7,10,998,0.0055202492210936,0.6613226452905812,6.318396482840234,3.9772420631719963e-10
MACD12_35_7_H20,12,35,7,20,995,0.010034329881814068,0.6582914572864321,6.2795553997248135,5.066807140058963e-10
MACD20_21_7_H20,20,21,7,20,994,0.010267975784221747,0.6438631790744467,6.217253883177031,7.439477997071932e-10
MACD8_35_11_H20,8,35,11,20,996,0.00983623789296293,0.6506024096385542,6.199251848175282,8.300336926710845e-10
MACD8_21_9_H10,8,21,9,10,998,0.005425085567881231,0.6523046092184369,6.188696615799597,8.846923600023258e-10
MACD8_30_7_H10,8,30,7,10,998,0.0054398277615995754,0.654308617234469,6.179599819878816,9.352052501833132e-10
MACD16_26_7_H20,16,26,7,20,995,0.01001501136194776,0.6552763819095477,6.159996120661773,1.0549749297163554e-09
MACD16_35_7_H20,16,35,7,20,992,0.009668298016166156,0.6391129032258065,6.152644178637454,1.104400578668561e-09
MACD12_35_9_H20,12,35,9,20,992,0.010102774888808673,0.6451612903225806,6.1011683601427285,1.5081404687624585e-09
MACD8_35_9_H20,8,35,9,20,996,0.009956182548455168,0.6536144578313253,6.095929764650568,1.554340616293048e-09
MACD12_30_9_H20,12,30,9,20,994,0.010082029483431213,0.6549295774647887,6.078180597303967,1.730790286462546e-09
MACD12_30_7_H20,12,30,7,20,996,0.009620102285898425,0.6445783132530121,6.046989309767121,2.0854026802193077e-09
MACD12_35_11_H20,12,35,11,20,991,0.009848703817990754,0.6387487386478304,6.021709886464829,2.4293836257318258e-09
MACD20_26_7_H20,20,26,7,20,991,0.00956764743368592,0.6367305751765893,6.005370219038861,2.6776051683338225e-09
MACD12_26_9_H20,12,26,9,20,996,0.009617807913299765,0.6546184738955824,6.002781493026215,2.714631733883071e-09
MACD12_30_11_H20,12,30,11,20,993,0.009893287547980472,0.6424974823766365,5.968933578004805,3.3213593853943694e-09
MACD12_26_11_H20,12,26,11,20,992,0.009954921546142435,0.6290322580645161,5.942252328607976,3.889240464839804e-09
MACD8_26_9_H10,8,26,9,10,998,0.005377365261816023,0.6442885771543087,5.935271387968463,4.044763961027712e-09
MACD16_21_7_H20,16,21,7,20,996,0.009486523022871559,0.6516064257028112,5.927877985232307,4.2272534361200525e-09
MACD8_30_9_H20,8,30,9,20,996,0.009508409245280996,0.6656626506024096,5.903067856799047,4.889894440326741e-09
MACD8_30_11_H20,8,30,11,20,995,0.00947445153135974,0.6452261306532663,5.887564010573376,5.355911584075282e-09
MACD12_21_11_H20,12,21,11,20,994,0.009874531380438034,0.6549295774647887,5.867071676496501,6.038113663608146e-09
MACD16_26_9_H20,16,26,9,20,993,0.010011710084676535,0.6324269889224572,5.859753231648035,6.3029134913990835e-09
MACD16_30_9_H20,16,30,9,20,991,0.009845778288660742,0.6377396569122099,5.858519425423373,6.352182498417108e-09
MACD20_30_7_H20,20,30,7,20,991,0.009702194651687871,0.6347124117053481,5.849852828458232,6.680493019579754e-09
MACD20_26_9_H20,20,26,9,20,991,0.010000458597412816,0.6387487386478304,5.831801382984059,7.41825298493925e-09
MACD12_21_9_H20,12,21,9,20,996,0.009544823728896283,0.6586345381526104,5.824170914243161,7.741989846590689e-09
MACD12_21_7_H10,12,21,7,10,998,0.005247726589296794,0.6492985971943888,5.813640836722103,8.223442715725667e-09
MACD8_26_11_H20,8,26,11,20,996,0.009280008941481224,0.6646586345381527,5.811616219099027,8.325081561989406e-09
MACD20_35_7_H20,20,35,7,20,990,0.009281393407839435,0.6343434343434343,5.79538971160278,9.158310125990526e-09
MACD20_21_9_H20,20,21,9,20,993,0.010020852727463126,0.6334340382678751,5.788065847686261,9.544598573598115e-09
MACD8_35_7_H10,8,35,7,10,998,0.005124640101963507,0.6452905811623246,5.754988164955086,1.1525001937297636e-08
MACD12_26_7_H20,12,26,7,20,996,0.00953358930439234,0.6676706827309237,5.74090973972939,1.2498921160175998e-08
MACD16_26_11_H20,16,26,11,20,991,0.009537852540075312,0.6296670030272452,5.735168013820754,1.2933786266648106e-08
MACD16_21_9_H20,16,21,9,20,993,0.009687192458703949,0.648539778449144,5.7218268132203125,1.3948777556607637e-08
MACD16_35_9_H20,16,35,9,20,990,0.009778084033682978,0.6434343434343435,5.718115003393414,1.4258730234088183e-08
MACD16_21_11_H20,16,21,11,20,992,0.00962182385018946,0.6340725806451613,5.708784995095093,1.502800505079802e-08
MACD20_21_11_H20,20,21,11,20,991,0.00947145627054841,0.627648839556004,5.6728387241335865,1.8431304192299318e-08
MACD16_35_11_H20,16,35,11,20,988,0.00896728874627361,0.6275303643724697,5.614520284327979,2.5614187139197692e-08
MACD8_21_11_H10,8,21,11,10,998,0.005198160378240598,0.6402805611222445,5.610443217461864,2.613871799094903e-08
MACD20_35_9_H20,20,35,9,20,989,0.00958320296528026,0.6268958543983822,5.578328848715433,3.1346902746751107e-08
MACD16_30_11_H20,16,30,11,20,990,0.009419004085693022,0.6272727272727273,5.553890497520557,3.5901128863432146e-08
MACD20_30_9_H20,20,30,9,20,989,0.009414659259765626,0.6157735085945399,5.549648139678184,3.676534218092342e-08
MACD20_26_11_H20,20,26,11,20,989,0.009080589546747708,0.6268958543983822,5.411622378256207,7.838991044284495e-08
MACD8_35_9_H10,8,35,9,10,996,0.004761234868303214,0.6365461847389559,5.376766768236121,9.450933804385416e-08
MACD20_35_11_H20,20,35,11,20,984,0.00890154389252252,0.6199186991869918,5.314760713340066,1.321602973057334e-07
MACD12_30_7_H10,12,30,7,10,996,0.004688800799965951,0.6325301204819277,5.222444421523184,2.1499965118142306e-07
MACD8_30_9_H10,8,30,9,10,996,0.0047091016134658,0.6526104417670683,5.20446994902023,2.362743366972815e-07
MACD8_21_7_H15,8,21,7,15,998,0.006463574140868476,0.6222444889779559,5.189792213031896,2.550481219209466e-07
MACD12_26_7_H10,12,26,7,10,996,0.004613386564918528,0.6455823293172691,5.155015365089972,3.058580168988446e-07
