strategy,period,std_dev,signal,hold,n_tickers,avg_net,win_rate,t_stat,p_value,source,lookback,threshold,direction,avg_gross,category,avg_return,n,significant,mean_return,layer,factors,condition,pattern,mean,t,fast,slow,hold_period,num_tickers,profitable_pct,source_file,ma_type,hypothesis,law,regime,n_samples
BB30_STD1.5_lower_touch_H15,30.0,1.5,lower_touch,15.0,979.0,0.0185854358988453,0.8069458631256384,11.923299831091532,1.0683037796848164e-30,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB30_STD2.0_lower_touch_H15,30.0,2.0,lower_touch,15.0,961.0,0.0215395083996953,0.7877211238293444,11.781872928723512,5.055139923835967e-30,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB25_STD1.5_lower_touch_H15,25.0,1.5,lower_touch,15.0,983.0,0.0180380808857274,0.8046795523906409,11.678004330541835,1.3481233324458038e-29,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB30_STD1.5_lower_touch_H10,30.0,1.5,lower_touch,10.0,979.0,0.0123482929356783,0.7906026557711952,11.161233795376912,2.601454501881679e-27,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB25_STD2.0_lower_touch_H15,25.0,2.0,lower_touch,15.0,967.0,0.020414094872349,0.7786970010341262,10.976831671631198,1.6854330673331666e-26,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB25_STD1.5_lower_touch_H10,25.0,1.5,lower_touch,10.0,983.0,0.0114335679457786,0.7568667344862665,10.609646791293574,5.6903347631670885e-25,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB30_STD2.5_lower_touch_H15,30.0,2.5,lower_touch,15.0,917.0,0.0283197149475818,0.7982551799345693,10.379739615881178,6.127748698778089e-24,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB20_STD1.5_lower_touch_H15,20.0,1.5,lower_touch,15.0,991.0,0.0174625497095686,0.8002018163471241,10.356585094312283,6.186133746450072e-24,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB30_STD3.0_lower_touch_H15,30.0,3.0,lower_touch,15.0,666.0,0.0289972820334502,0.7807807807807807,9.978449616739336,6.037111115390076e-22,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB30_STD2.0_lower_touch_H10,30.0,2.0,lower_touch,10.0,961.0,0.0125770368677689,0.7502601456815817,9.870720726170346,5.9335826263722495e-22,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB25_STD2.0_lower_touch_H10,25.0,2.0,lower_touch,10.0,967.0,0.0118869612516604,0.7321613236814891,9.48273418716295,1.8588884941638694e-20,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB25_STD2.5_lower_touch_H15,25.0,2.5,lower_touch,15.0,927.0,0.0271788053140545,0.7820927723840345,9.417116288542964,3.573626853273189e-20,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB20_STD2.0_lower_touch_H15,20.0,2.0,lower_touch,15.0,973.0,0.0203716085674536,0.7944501541623844,9.329765400848832,6.969989292481801e-20,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB15_STD1.5_lower_touch_H15,15.0,1.5,lower_touch,15.0,995.0,0.0145085669878194,0.7879396984924623,9.198357256560897,2.0812752439118924e-19,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB30_STD2.5_lower_touch_H10,30.0,2.5,lower_touch,10.0,917.0,0.0150551311351483,0.7470010905125409,8.816243563093431,5.872001516105455e-18,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB15_STD2.5_lower_touch_H15,15.0,2.5,lower_touch,15.0,940.0,0.0195736675315673,0.7712765957446809,8.613000182396185,2.9743863449970724e-17,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB20_STD1.5_lower_touch_H10,20.0,1.5,lower_touch,10.0,991.0,0.0109120530606107,0.7658930373360242,8.475414439406872,8.408263619637477e-17,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB15_STD1.5_lower_touch_H10,15.0,1.5,lower_touch,10.0,995.0,0.0088552530456454,0.7597989949748744,8.408798108938154,1.4242311458724804e-16,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB15_STD2.0_lower_touch_H15,15.0,2.0,lower_touch,15.0,981.0,0.0169022227978187,0.7951070336391437,8.254572429490155,4.890155508010015e-16,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB25_STD2.5_lower_touch_H10,25.0,2.5,lower_touch,10.0,927.0,0.0142324012397512,0.7216828478964401,8.161372108636957,1.075582299510744e-15,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB30_STD1.5_lower_touch_H5,30.0,1.5,lower_touch,5.0,979.0,0.0051199025205099,0.7568947906026557,8.136658421107965,1.2266088410506176e-15,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB10_STD1.5_lower_touch_H15,10.0,1.5,lower_touch,15.0,999.0,0.0118979381898832,0.7897897897897898,7.90123801547244,7.266664960344034e-15,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB20_STD2.5_lower_touch_H10,20.0,2.5,lower_touch,10.0,932.0,0.0126838303075494,0.7188841201716738,7.803256304481316,1.616606315138721e-14,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB30_STD3.0_lower_touch_H10,30.0,3.0,lower_touch,10.0,666.0,0.0166995718534531,0.7342342342342343,7.654064699852282,6.872204765783064e-14,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB10_STD1.5_lower_touch_H10,10.0,1.5,lower_touch,10.0,999.0,0.007346648709986,0.7607607607607607,7.139331029061634,1.8039562429513464e-12,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB20_STD2.0_lower_touch_H10,20.0,2.0,lower_touch,10.0,973.0,0.0119112383225171,0.7482014388489209,6.679856518677414,4.0196241953701586e-11,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB30_STD2.0_lower_touch_H5,30.0,2.0,lower_touch,5.0,961.0,0.0057132219331744,0.7221644120707597,6.621146385163319,5.922867040990151e-11,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB25_STD1.5_lower_touch_H5,25.0,1.5,lower_touch,5.0,983.0,0.0046907890064131,0.7080366225839267,6.56921616758237,8.190232783432194e-11,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB20_STD1.5_lower_touch_H5,20.0,1.5,lower_touch,5.0,991.0,0.0040815488950592,0.722502522704339,6.41710373094126,2.1498220067292704e-10,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB30_STD3.0_lower_touch_H5,30.0,3.0,lower_touch,5.0,666.0,0.0096595769617295,0.6951951951951952,6.405124137585921,2.842253974600971e-10,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB15_STD2.0_lower_touch_H10,15.0,2.0,lower_touch,10.0,981.0,0.0102760572097249,0.7390417940876657,6.385524300820906,2.6334109844615387e-10,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB15_STD2.5_lower_touch_H10,15.0,2.5,lower_touch,10.0,940.0,0.0097750794109342,0.7031914893617022,6.172524674843716,9.98623283747388e-10,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB30_STD2.5_lower_touch_H5,30.0,2.5,lower_touch,5.0,917.0,0.0081925495780404,0.7044711014176663,6.09547171915132,1.6060374573680046e-09,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB15_STD1.5_lower_touch_H5,15.0,1.5,lower_touch,5.0,995.0,0.0032616838481729,0.7175879396984924,6.09300310460793,1.5825471225958674e-09,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB25_STD2.0_lower_touch_H5,25.0,2.0,lower_touch,5.0,967.0,0.0052274745298663,0.7001034126163392,5.934269333154032,4.1098345079646726e-09,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB30_STD3.0_lower_touch_H3,30.0,3.0,lower_touch,3.0,666.0,0.0063955725898239,0.6546546546546547,5.93342373999544,4.773641566333592e-09,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB30_STD1.5_lower_touch_H3,30.0,1.5,lower_touch,3.0,979.0,0.0027856293400272,0.7160367722165475,5.844119032400982,6.9320187416198835e-09,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB25_STD3.0_lower_touch_H10,25.0,3.0,lower_touch,10.0,659.0,0.0117379819725427,0.6995447647951442,5.754678240156707,1.3310464338024572e-08,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB10_STD2.0_lower_touch_H15,10.0,2.0,lower_touch,15.0,991.0,0.0110938079216038,0.7366296670030272,5.749918144978186,1.188789381791102e-08,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB30_STD2.5_lower_touch_H3,30.0,2.5,lower_touch,3.0,917.0,0.005386635016758,0.6793893129770993,5.592938610364185,2.94721562573902e-08,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB25_STD2.5_lower_touch_H5,25.0,2.5,lower_touch,5.0,927.0,0.0077610978967353,0.6763754045307443,5.519802833027284,4.4069517668695e-08,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB20_STD2.0_lower_touch_H5,20.0,2.0,lower_touch,5.0,973.0,0.0043338581689017,0.6834532374100719,5.4963951261896815,4.9529167297308965e-08,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB15_STD3.0_lower_touch_H15,15.0,3.0,lower_touch,15.0,648.0,0.0188024692459657,0.7314814814814815,5.487692039371963,5.850580464672697e-08,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB15_STD2.0_lower_touch_H5,15.0,2.0,lower_touch,5.0,981.0,0.0036295329901232,0.6717635066258919,5.463064379855752,5.934488421398023e-08,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB30_STD2.0_lower_touch_H3,30.0,2.0,lower_touch,3.0,961.0,0.0033381188192203,0.663891779396462,5.356044257782901,1.0649040389340749e-07,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB10_STD2.5_lower_touch_H15,10.0,2.5,lower_touch,15.0,921.0,0.0135753866359616,0.6938110749185668,5.317483295408624,1.3213342122254237e-07,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB25_STD3.0_lower_touch_H15,25.0,3.0,lower_touch,15.0,659.0,0.0293888916384989,0.7769347496206374,5.302901131507292,1.5583152064167994e-07,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB20_STD3.0_lower_touch_H10,20.0,3.0,lower_touch,10.0,650.0,0.0098717369746855,0.6676923076923077,5.256789126452886,1.9919205432528626e-07,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB20_STD2.5_lower_touch_H5,20.0,2.5,lower_touch,5.0,932.0,0.0061647717743008,0.6598712446351931,5.133102504082982,3.469696241155175e-07,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB25_STD3.0_lower_touch_H5,25.0,3.0,lower_touch,5.0,659.0,0.0067955814684774,0.6661608497723824,4.779726547475005,2.166849981780436e-06,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB10_STD2.0_lower_touch_H10,10.0,2.0,lower_touch,10.0,991.0,0.006769635441854,0.6881937436932392,4.525808527417071,6.746833700254132e-06,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB25_STD1.5_lower_touch_H3,25.0,1.5,lower_touch,3.0,983.0,0.0024047171193425,0.6734486266531028,4.288159010212859,1.979408527944373e-05,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB25_STD3.0_lower_touch_H3,25.0,3.0,lower_touch,3.0,659.0,0.0042823463775893,0.6358118361153262,4.203527293943943,2.991297193644137e-05,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB10_STD1.5_lower_touch_H5,10.0,1.5,lower_touch,5.0,999.0,0.0023624050786315,0.6726726726726727,4.19515394952554,2.9695504634713038e-05,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB25_STD2.5_lower_touch_H3,25.0,2.5,lower_touch,3.0,927.0,0.0050264825925247,0.6461704422869471,4.179234855543776,3.2019620942054264e-05,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB10_STD2.5_lower_touch_H10,10.0,2.5,lower_touch,10.0,921.0,0.0073120192735305,0.6601520086862106,4.043419638587072,5.708811698851168e-05,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB20_STD1.5_lower_touch_H3,20.0,1.5,lower_touch,3.0,991.0,0.0020211951378911,0.6750756811301716,3.960973888545179,7.999364438493276e-05,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB15_STD3.0_lower_touch_H10,15.0,3.0,lower_touch,10.0,648.0,0.007985923200011,0.6558641975308642,3.960779610725869,8.300197871319023e-05,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB25_STD2.0_lower_touch_H3,25.0,2.0,lower_touch,3.0,967.0,0.0027381172514113,0.6287487073422957,3.817505823564896,0.0001433929133872,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB20_STD2.5_lower_touch_H3,20.0,2.5,lower_touch,3.0,932.0,0.0034377083524508,0.6330472103004292,3.5006107708210767,0.0004862165348214,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB20_STD3.0_lower_touch_H5,20.0,3.0,lower_touch,5.0,650.0,0.0046614364088917,0.6338461538461538,3.253099238845413,0.0012007258850297,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
BB15_STD2.5_lower_touch_H5,15.0,2.5,lower_touch,5.0,940.0,0.002991167033985,0.6297872340425532,3.2383517826709878,0.001244388359482,BOLLINGER_COMPREHENSIVE.csv,,,,,,,,True,,,,,,,,,,,,,,,,,,
