strategy,hold,context1,context2,t_stat,mean_return,type
RSI_Oversold,10,BEAR,ALL,61.05714989723845,0.0414347766737796,REGIME
Near52High_LowVol_PosMom,20,RANGE,ALL,58.159178051749215,0.0109403049325881,REGIME
Near52High_LowVol_PosMom,20,ALL,ALL,57.84628863172682,0.0106431933824864,REGIME
Near52High_LowVol,20,RANGE,ALL,56.92889309936456,0.0098940066694794,REGIME
Oversold_After2Down,10,BEAR,ALL,56.32692761406906,0.0531843747252415,REGIME
Near52High_LowVol,20,ALL,ALL,55.926140089739725,0.009449567607428,REGIME
Momentum_20d_Neg,10,BEAR,LARGE,53.9696320531473,0.0357560603577645,REGIME
Oversold_After2Down,5,BEAR,ALL,52.65125108843799,0.037658527694259,REGIME
RSI_Oversold,10,BEAR,LARGE,51.48790920577527,0.0461232427140771,REGIME
Near52High_LowVol_PosMom,10,ALL,ALL,51.05898722219605,0.0046824891522861,REGIME
Near52High_LowVol_PosMom,10,RANGE,ALL,50.22524459990094,0.0046833830400919,REGIME
Near52High_LowVol,10,ALL,ALL,48.9304279307034,0.0041149835298968,REGIME
HighVol,10,BEAR,LARGE,48.40591393035211,0.0322882909911159,REGIME
Near52High_LowVol,10,RANGE,ALL,48.30685062430757,0.0041554941986727,REGIME
ZScore_Low,10,BEAR,LARGE,46.55867046971371,0.0380138874915482,REGIME
BB_Below_Lower,10,BEAR,LARGE,46.55867046971371,0.0380138874915482,REGIME
RSI_Oversold,5,BEAR,ALL,46.2827491982389,0.0248801405790789,REGIME
Oversold_After2Down,10,BEAR,LARGE,46.02232055724235,0.0586690898579934,REGIME
Momentum_20d_Neg,10,BEAR,ALL,45.790967290431695,0.0323175542171096,REGIME
HighVol,10,BEAR,ALL,45.49911276417629,0.0286309866238853,REGIME
BearishRibbon,10,BEAR,ALL,45.35439646200828,0.0323951174111984,REGIME
Momentum_5d_Neg,10,BEAR,ALL,44.98799960852745,0.0325297938908852,REGIME
Momentum_5d_Neg,10,BEAR,LARGE,44.81530190006167,0.0379949503753041,REGIME
After2Down,10,BEAR,ALL,44.60352830175994,0.0417564351148086,REGIME
Momentum_20d_Neg,5,BEAR,ALL,44.41502327976205,0.0179076967409271,REGIME
Momentum_60d_Pos,20,ALL,ALL,43.91980360463338,0.0099519764606799,REGIME
HighVol,5,BEAR,ALL,43.83766869443376,0.0161492962902035,REGIME
BB_Below_Lower,10,BEAR,ALL,43.76088856843304,0.0345177405677579,REGIME
ZScore_Low,10,BEAR,ALL,43.76088856843304,0.0345177405677579,REGIME
Momentum_60d_Pos,20,RANGE,ALL,43.481631419691695,0.0100871353182638,REGIME
AboveEMA200,20,RANGE,ALL,43.30442964134742,0.0082621160296263,REGIME
BullishRibbon,20,ALL,ALL,43.215476414273525,0.0100637338614711,REGIME
Far_From_High,10,BEAR,ALL,43.01168453233491,0.0378862796006349,REGIME
BelowEMA200,10,BEAR,ALL,42.7453038036609,0.0333028503299268,REGIME
BullishRibbon,20,RANGE,ALL,42.60931611043325,0.0101356110351114,REGIME
BearishRibbon,5,BEAR,ALL,42.58890152164205,0.0178335100970344,REGIME
BelowEMA200,5,BEAR,ALL,42.14281828641255,0.0189026237698572,REGIME
Momentum_5d_Neg,5,BEAR,ALL,41.87195592959091,0.0170477881453069,REGIME
Oversold_After2Down,5,BEAR,LARGE,41.52781719945149,0.0416610699907571,REGIME
BearishRibbon,10,BEAR,LARGE,41.47274368298539,0.0372700971239425,REGIME
Momentum_20d_Pos,20,ALL,LARGE,41.21280277259082,0.0208265514746886,REGIME
AboveEMA200,20,ALL,LARGE,40.97225388684159,0.0156982032440521,REGIME
RSI_Oversold,5,BEAR,LARGE,40.702374478288256,0.0273005089007712,REGIME
ZScore_Low,20,BEAR,ALL,40.621313404964816,0.0503757974780271,REGIME
BB_Below_Lower,20,BEAR,ALL,40.621313404964816,0.0503757974780271,REGIME
BB_Below_Lower,20,BEAR,LARGE,40.3750200427119,0.0599026522539627,REGIME
ZScore_Low,20,BEAR,LARGE,40.3750200427119,0.0599026522539627,REGIME
BearishRibbon,20,BULL,ALL,39.62783586051353,0.0440559013681268,REGIME
