strategy,fast,slow,ma_type,hold,n_tickers,avg_net,win_rate,t_stat,p_value
SMA5x20_H20,5,20,SMA,20,922,0.008597926765826245,0.579175704989154,5.028681950552481,5.935141965140293e-07
EMA5x20_H20,5,20,EMA,20,922,0.009370864909719934,0.571583514099783,4.901627362076647,1.12286271399611e-06
SMA5x50_H20,5,50,SMA,20,912,0.01398260348013996,0.5515350877192983,4.480780466082314,8.382966692539252e-06
SMA10x20_H20,10,20,SMA,20,922,0.009801889818792032,0.6084598698481561,4.426287897679629,1.07345219990311e-05
SMA10x50_H20,10,50,SMA,20,908,0.01500227566653518,0.5440528634361234,4.346704768380517,1.5383085512977496e-05
EMA10x20_H20,10,20,EMA,20,919,0.010579769163285105,0.5473340587595212,4.132693344631841,3.9132229211464815e-05
EMA10x100_H3,10,100,EMA,3,890,0.0037893176437053954,0.5483146067415731,4.097364091029361,4.560670118847538e-05
EMA20x100_H3,20,100,EMA,3,854,0.004113716975091511,0.5374707259953162,3.9706612738230183,7.771526719886161e-05
EMA20x50_H3,20,50,EMA,3,895,0.0037625012062027876,0.5452513966480447,3.8029275458767793,0.00015270838386559427
SMA20x50_H20,20,50,SMA,20,894,0.00983479055076106,0.5480984340044742,3.789400990497509,0.00016113877668555223
EMA5x50_H20,5,50,EMA,20,916,0.009234422165863817,0.5600436681222707,3.7832239760636455,0.000164873917409362
EMA5x100_H3,5,100,EMA,3,907,0.0036753406409722935,0.5369349503858876,3.7698816073443253,0.00017390493823396034
SMA5x20_H10,5,20,SMA,10,922,0.003555540640669262,0.5455531453362256,3.729634961032061,0.000203477634750467
EMA20x100_H1,20,100,EMA,1,854,0.00233404931336992,0.5269320843091335,3.712393464161614,0.00021863874982887567
SMA5x100_H5,5,100,SMA,5,843,0.004981440648380594,0.5693950177935944,3.533458735025141,0.0004324908275886973
SMA10x50_H5,10,50,SMA,5,908,0.004299687285098113,0.513215859030837,3.5256278294197663,0.0004436278933672369
EMA10x50_H20,10,50,EMA,20,912,0.009750916350801437,0.5383771929824561,3.4354966889863863,0.0006181839141262828
SMA5x100_H3,5,100,SMA,3,843,0.0031425926463450986,0.5504151838671412,3.427014664821279,0.0006398340271434673
SMA5x50_H10,5,50,SMA,10,912,0.004990432870325719,0.5592105263157895,3.4262127582393838,0.0006394243900297176
EMA5x20_H10,5,20,EMA,10,922,0.0038971498144226525,0.5466377440347071,3.398183479346179,0.0007074256125827253
SMA5x100_H1,5,100,SMA,1,843,0.001862918878453938,0.5468564650059312,3.2980496511195305,0.0010144170470516413
SMA10x50_H3,10,50,SMA,3,908,0.003199516839116593,0.5187224669603524,3.2521862171450624,0.0011874746657086594
EMA10x50_H3,10,50,EMA,3,912,0.003078608427834121,0.555921052631579,3.2405599905895706,0.0012361995892713146
EMA10x20_H3,10,20,EMA,3,919,0.002068928830888317,0.5375408052230686,3.0581444760952166,0.0022917040523261867
EMA10x200_H3,10,200,EMA,3,853,0.0028325823034741375,0.5556858147713951,2.977991226540176,0.0029836784255649856
EMA50x100_H3,50,100,EMA,3,784,0.0037372243059499814,0.5599489795918368,2.8769114744538147,0.00412505364183081
EMA10x20_H10,10,20,EMA,10,919,0.0033928902339166117,0.5538628944504896,2.868112104971243,0.004223879548376053
EMA5x20_H5,5,20,EMA,5,922,0.0019464207308364833,0.5466377440347071,2.6939073750958906,0.007190423437533581
EMA20x50_H20,20,50,EMA,20,895,0.007101687173365928,0.5106145251396648,2.5918699724167293,0.00970130782047449
SMA10x20_H10,10,20,SMA,10,922,0.0027452290612384593,0.4945770065075922,2.591059505157966,0.009719425321580693
EMA10x100_H1,10,100,EMA,1,890,0.0015517509842247596,0.4764044943820225,2.5514447659355235,0.010894125378276298
EMA5x100_H5,5,100,EMA,5,907,0.0028525649061405143,0.5104740904079382,2.5414897233642777,0.011203781232453873
EMA20x50_H1,20,50,EMA,1,895,0.0016387778762441188,0.4770949720670391,2.506047899788423,0.012385565965000223
SMA5x50_H5,5,50,SMA,5,912,0.002722986566595587,0.5175438596491229,2.4928933826878406,0.012847271072837068
SMA10x50_H10,10,50,SMA,10,908,0.0040817830638173,0.48237885462555063,2.492671635631111,0.012856021748577355
EMA5x20_H3,5,20,EMA,3,922,0.0015465346550070458,0.5455531453362256,2.492082066676159,0.012874526840632216
EMA10x50_H5,10,50,EMA,5,912,0.0024974724581507232,0.5197368421052632,2.456761376280206,0.014205120646696674
