strategy,lookback,hold_period,num_tickers,avg_gross,avg_net,profitable_pct,t_stat,p_value,significant
Mom5_Hold21,5,21,5062,0.01178119315456382,0.007225286398340985,0.5154089292769656,9.362437084731743,1.1436748964666949e-20,True
Mom10_Hold21,10,21,5062,0.008892497392980578,0.004336590636757742,0.45811932042670883,5.5227862800058745,3.50330113642568e-08,True
Mom5_Hold10,5,10,5062,0.005378836741543558,0.000822929985320721,0.4395495851442118,2.0964226286999224,0.036094240828644764,False
Mom10_Hold10,10,10,5062,0.0032155990354636984,-0.0013403077207591388,0.36270248913472936,-2.981157885317105,0.002885277919634113,False
Mom20_Hold10,20,10,5062,0.0020686689564337825,-0.002487237799789054,0.3455156064796523,-5.550233283680169,2.9982019651217736e-08,True
Mom10_Hold5,10,5,5062,0.001656937548851194,-0.0028989692073716432,0.3093638877913868,-12.294007520596352,2.993065953280055e-34,True
Mom5_Hold5,5,5,5062,0.0017468468286162904,-0.0028090599276065467,0.301659423152904,-12.451215373060846,4.476077972043567e-35,True
Mom20_Hold5,20,5,5062,0.000994143692511505,-0.003561763063711332,0.2826945871197155,-13.864825654628017,6.254129794732963e-43,True
Mom60_Hold10,60,10,5049,-0.004397414353418013,-0.008948414551477036,0.25648643295702117,-18.885933099659617,6.33131593038504e-77,True
Mom126_Hold21,126,21,4958,-0.01644403396495091,-0.020962993222716143,0.23436869705526422,-21.119124702066127,7.175206717786001e-95,True
Mom126_Hold10,126,10,4958,-0.008854909082483818,-0.013373868340249048,0.19987898346107302,-27.402202000190343,4.6910643825702354e-154,True
Mom60_Hold5,60,5,5049,-0.0028593680171581605,-0.007410368215217182,0.19786096256684493,-27.70614298661426,2.0913983829512207e-157,True
Mom126_Hold5,126,5,4958,-0.004639002508095068,-0.009157961765860296,0.1619604679306172,-36.11355643788033,9.567969551495195e-254,True
Mom10_Hold1,10,1,5062,0.00027612600040648996,-0.004279780755816347,0.13235875148162782,-60.69164307591961,0.0,True
Mom20_Hold1,20,1,5062,9.02405197711452e-05,-0.004465666236451692,0.12425918609245358,-61.1315942947242,0.0,True
Mom5_Hold1,5,1,5062,0.0002377018242571267,-0.00431820493196571,0.12425918609245358,-61.59262159201719,0.0,True
Mom60_Hold1,60,1,5049,-0.0007238691884730425,-0.005274869386532065,0.07585660526836997,-75.83107003300971,0.0,True
Mom126_Hold1,126,1,4958,-0.0010194580482630704,-0.0055384173060282985,0.06555062525211779,-80.06721523653748,0.0,True
Mom20_Hold21,20,21,5062,0.004982616256172837,0.0004264020692532554,0.4128802844725405,,,False
Mom60_Hold21,60,21,5049,-0.005030937805963032,-0.0095828807084214,0.3319469201822143,,,False
