strategy,lookback,hold,threshold,n_tickers,avg_gross,avg_net,win_rate,t_stat,p_value
Mom1_H60_T19,1,60,0.8,499,0.024956173426875044,0.024536534148317926,0.7054108216432866,5.480637319334625,6.742818983372983e-08
Mom2_H60_T30,2,60,0.7,499,0.019267337301928283,0.018858920468260956,0.6813627254509018,4.312647036442294,1.9456589553155696e-05
Mom3_H30_T30,3,30,0.7,500,0.01600959223732298,0.015592192237322978,0.634,4.031494980488831,6.408627111422063e-05
Mom2_H30_T5,2,30,0.95,477,0.01404556593390489,0.013650807024051638,0.649895178197065,4.003966862341314,7.224289059981439e-05
Mom3_H30_T19,3,30,0.8,499,0.01726707484904858,0.016834209117585652,0.6352705410821643,3.941373818917254,9.260681415085132e-05
Mom3_H60_T30,3,60,0.7,499,0.02165888017970477,0.021229220861067495,0.6733466933867736,3.835709375096649,0.00014127953119207873
Mom2_H60_T19,2,60,0.8,499,0.031216152300527558,0.030806132260447396,0.6613226452905812,3.7566165261735853,0.0001925953317902029
Mom1_H60_T30,1,60,0.7,499,0.02101369575866777,0.020583635638427297,0.6833667334669339,3.644376738486244,0.00029618961638950203
Mom5_H60_T19,5,60,0.8,500,0.022902422614620513,0.022479822614620518,0.634,3.6014015533736448,0.0003481789094491068
Mom3_H15_T30,3,15,0.7,500,0.005869013450382382,0.005448013450382381,0.588,3.5632548812401,0.000401454308595864
Mom3_H60_T9,3,60,0.9,500,0.02962831178612957,0.02921471178612957,0.656,3.486171814513594,0.0005332197523931814
Mom2_H30_T30,2,30,0.7,500,0.010878586968342204,0.010475786968342204,0.666,3.3801874293053924,0.0007811352046464693
Mom1_H30_T19,1,30,0.8,500,0.010517812108901653,0.010092012108901654,0.68,3.3190155136131785,0.0009693888405991819
Mom10_H60_T30,10,60,0.7,500,0.02128133063552594,0.020858130635525943,0.642,3.2811755173512336,0.0011060984511660978
Mom2_H5_T30,2,5,0.7,500,0.002539439759428116,0.0021286397594281158,0.56,3.2536972109638507,0.0012163540231031437
Mom3_H60_T19,3,60,0.8,500,0.01749488915060204,0.017076289150602043,0.648,3.1580681051289075,0.0016843792565864632
Mom2_H20_T5,2,20,0.95,465,0.015180004821309816,0.014779144606256053,0.610752688172043,3.127039782438346,0.0018767238476635987
Mom5_H60_T30,5,60,0.7,500,0.018247005096050567,0.01783700509605057,0.68,3.0564321213993244,0.002359904155217727
Mom1_H30_T9,1,30,0.9,500,0.008012075169564798,0.0075750751695648,0.68,2.9545574668488883,0.003279099029035608
