strategy,mean,n,t
Up_Oversold_H5,0.007429951981313078,64835,10.085997521991265
Up_Oversold_H10,0.015141930787713451,64510,14.057218582287364
Up_Oversold_H20,0.028628764040253784,63467,19.404561280309345
Up_Overbought_H5,5.233568000344109e-05,311270,0.1962826043276265
Up_Overbought_H10,0.0017375372505238763,307311,4.7105139085008085
Up_Overbought_H20,0.005650963429438669,301686,10.726321539872119
Down_Oversold_H5,0.010541443109221463,238103,11.064704194178283
Down_Oversold_H10,0.01848588892948871,236743,20.81519127427605
Down_Oversold_H20,0.026156743834643233,232294,21.01865532819261
Down_Overbought_H5,-0.00025033561082571636,60916,-0.35569324581529843
Down_Overbought_H10,0.0013827553453612934,59554,1.263826098742956
Down_Overbought_H20,0.011690259227024586,57647,7.81476298353024
Up_LowVol_H5,-7.810945321914894e-05,279175,-1.0874856593920332
Up_LowVol_H10,0.0009548943616351182,278047,9.602045596022137
Up_LowVol_H20,0.005352834031971841,274976,39.41240681225286
Up_HighVol_H5,0.003236281095854611,429059,9.897136902535083
Up_HighVol_H10,0.0067868097239044715,423834,14.0503689392708
Up_HighVol_H20,0.013254266648904578,412715,17.914707284418377
Down_LowVol_H5,0.0015340616262988589,59275,4.100238615244929
Down_LowVol_H10,0.004334707239418397,58357,5.6057282936753
Down_LowVol_H20,0.008742639088121867,56918,5.981937892290241
Down_HighVol_H5,0.21744618743300526,582874,1.777094442490185
Down_HighVol_H10,0.2454644908683483,575142,2.6140405651240184
Down_HighVol_H20,0.4908260972146716,558237,3.1315739452638307
OS_LowVol_H5,0.002984550624719549,115880,13.637073063425664
OS_LowVol_H10,0.0043051866571265154,114941,11.685985017292369
OS_LowVol_H20,0.007419449460189635,111645,16.9158789521379
OS_HighVol_H5,0.015740928944652764,155384,10.471985981677811
OS_HighVol_H10,0.027120522733882466,154545,18.601320007321764
OS_HighVol_H20,0.03900464733398111,151480,19.269979410758676
OB_LowVol_H5,-0.0009490152871458159,226859,-16.677038490151084
OB_LowVol_H10,-0.0007902298163000611,225402,-11.65276668208201
OB_LowVol_H20,0.002317825699343577,221722,17.851742680065723
OB_HighVol_H5,0.003223765904167476,155581,5.083938491550823
OB_HighVol_H10,0.0070891195080892075,153084,7.9689107296920465
