strategy,period,threshold,hold,direction,n_tickers,avg_gross,avg_net,win_rate,t_stat,p_value
RSI25_OV35_H3,25,35,3,oversold,936,0.007977467484742588,0.0075803521001272045,0.717948717948718,14.276953043079375,5.591866481004481e-42
RSI25_OV35_H5,25,35,5,oversold,936,0.011222865498067017,0.010825750113451632,0.7232905982905983,13.711966217621242,3.989065335494244e-39
RSI7_OV35_H15,7,35,15,oversold,1000,0.016909832381897194,0.016496332381897193,0.804,12.596940897796825,7.09302927319169e-34
RSI10_OV35_H15,10,35,15,oversold,999,0.0186507649347737,0.018237852021860786,0.7947947947947948,12.51715936130501,1.7028743339844346e-33
RSI25_OV35_H1,25,35,1,oversold,936,0.0032598150817927858,0.0028626996971774015,0.6848290598290598,12.264125906197382,3.60818240242769e-32
RSI7_OV30_H15,7,30,15,oversold,999,0.01885931217490332,0.018445898761489905,0.8138138138138138,12.10899228417096,1.3748723746192976e-31
RSI25_OV35_H10,25,35,10,oversold,936,0.01611115878828371,0.015714043403668325,0.719017094017094,12.036009847970217,4.015887046715006e-31
RSI10_OV30_H15,10,30,15,oversold,993,0.02107561751030166,0.020665244902043856,0.7875125881168177,12.016319212591934,3.770923526868483e-31
RSI7_OV25_H15,7,25,15,oversold,998,0.021169393356136476,0.020756567704833872,0.8106212424849699,11.977026301802603,5.583255113699709e-31
RSI14_OV35_H15,14,35,15,oversold,994,0.022007884706433403,0.021596214686312683,0.7907444668008048,11.775960961855207,4.6660363615033574e-30
RSI20_OV30_H10,20,30,10,oversold,907,0.024736394153382912,0.0243430093683774,0.7420066152149944,11.51534044506841,9.871884320383808e-29
RSI7_OV20_H15,7,20,15,oversold,991,0.023811785678363093,0.02340189667735401,0.7971745711402624,11.449533437255221,1.360930841204891e-28
RSI25_OV30_H3,25,30,3,oversold,784,0.009447470668278213,0.009070047198890457,0.6900510204081632,11.353110613301727,9.250322159608538e-28
RSI14_OV25_H1,14,25,1,oversold,924,0.004685144146115958,0.004290122501094314,0.7305194805194806,11.272782163478794,1.05134383524657e-27
RSI10_OV35_H20,10,35,20,oversold,999,0.019689174650301757,0.01927626173738885,0.7647647647647647,11.163912384008079,2.36398731324491e-27
RSI10_OV35_H10,10,35,10,oversold,999,0.013782938842002258,0.013370025929089346,0.7967967967967968,11.128484331608188,3.3679323163960075e-27
RSI25_OV30_H5,25,30,5,oversold,784,0.014117751372647614,0.013740327903259854,0.7206632653061225,11.102493529771213,1.0639704629426624e-26
