sector,strategy,hold,n,mean,t_stat,significant
COMM,AboveEMA200,fwd_5,5793,0.005636991230882663,6.981252572329105,True
COMM,AboveEMA200,fwd_20,5693,0.020369525152790998,9.845029132059352,True
COMM,RSI_Oversold,fwd_5,880,0.005532056588298646,3.4415031233657305,True
COMM,RSI_Oversold,fwd_20,855,0.019226800376032086,5.127288782055033,True
COMM,Near52High,fwd_5,1071,0.00369412328436029,3.064461993453417,True
COMM,Near52High,fwd_20,1015,0.007005203281572293,2.6294963979283796,False
COMM,LowVol,fwd_5,1017,0.00142898707633757,0.9165289383595032,False
COMM,LowVol,fwd_20,946,-0.0032293306652320356,-1.1516083029815412,False
COMM,Momentum_Pos,fwd_5,4825,0.006346781983206045,6.999163805643382,True
COMM,Momentum_Pos,fwd_20,4704,0.020840959529890506,8.342771510712446,True
COMM,Oversold_LowVol,fwd_5,84,-0.004268969718809658,-1.5136800853333896,False
COMM,Oversold_LowVol,fwd_20,80,-0.028357390259897024,-3.465105096417706,True
COMM,Near52High_LowVol,fwd_5,339,0.006914775812640449,2.9765822105612845,False
COMM,Near52High_LowVol,fwd_20,307,-0.0035677689110174904,-0.6352594464422128,False
DISC,AboveEMA200,fwd_5,5706,0.0007010027447512102,1.2512309338395355,False
DISC,AboveEMA200,fwd_20,5529,0.004337546050525127,3.8779416677656546,True
DISC,RSI_Oversold,fwd_5,1001,0.004023952173414305,2.749028836199841,False
DISC,RSI_Oversold,fwd_20,988,0.011210770862158886,3.7342782013387876,True
DISC,Near52High,fwd_5,717,-0.0017404646435891875,-1.2911080702374245,False
DISC,Near52High,fwd_20,655,0.0031654895295932703,1.0908921572323098,False
DISC,LowVol,fwd_5,1130,0.00033047457432935413,0.24976787214707158,False
DISC,LowVol,fwd_20,1106,0.013055422866458399,4.994506157346805,True
DISC,Momentum_Pos,fwd_5,5236,0.002020406094473548,3.2903798684768137,True
DISC,Momentum_Pos,fwd_20,5060,0.004438548124248662,3.6938938424221965,True
DISC,Oversold_LowVol,fwd_5,141,0.003349000582768082,0.8763411808952778,False
DISC,Oversold_LowVol,fwd_20,139,0.012704818056692572,2.214991218408195,False
DISC,Near52High_LowVol,fwd_5,255,0.0006581730237822076,0.26476139183765185,False
DISC,Near52High_LowVol,fwd_20,243,0.01704653673936257,3.084907102395346,True
ENRG,AboveEMA200,fwd_5,4131,-0.000733977872236357,-1.192461361622209,False
ENRG,AboveEMA200,fwd_20,3932,0.004137239955434115,3.5491593512936492,True
ENRG,RSI_Oversold,fwd_5,1008,0.011300778836388536,8.275871076247284,True
ENRG,RSI_Oversold,fwd_20,1008,0.028907934057861667,11.382973277240797,True
ENRG,Near52High,fwd_5,485,-0.012468967380822019,-6.3181456707207975,True
ENRG,Near52High,fwd_20,417,-0.027312913267649164,-9.13853532055843,True
ENRG,LowVol,fwd_5,983,0.0013829307705552102,0.9887673755619178,False
ENRG,LowVol,fwd_20,874,0.012423840348785768,5.734946378974411,True
ENRG,Momentum_Pos,fwd_5,4425,-0.003561360153646367,-5.13719725532021,True
ENRG,Momentum_Pos,fwd_20,4239,-0.001958584204813465,-1.6668059407745504,False
ENRG,Oversold_LowVol,fwd_5,55,0.02534558911079502,4.751100650493583,True
ENRG,Oversold_LowVol,fwd_20,55,0.03703488236045161,4.324184797616299,True
ENRG,Near52High_LowVol,fwd_5,170,-0.005065516657661231,-1.8876547263771453,False
ENRG,Near52High_LowVol,fwd_20,146,-0.013261893786486095,-3.06572265892957,True
FINC,AboveEMA200,fwd_5,7267,0.0033035488607286393,8.504796402651907,True
FINC,AboveEMA200,fwd_20,7080,0.014052749641430797,19.384700890799305,True
FINC,RSI_Oversold,fwd_5,686,0.0114501600554116,8.024662895185502,True
FINC,RSI_Oversold,fwd_20,681,0.020101191222299395,6.924399573150032,True
FINC,Near52High,fwd_5,1621,0.0017242569115110504,2.3154111584220116,False
FINC,Near52High,fwd_20,1501,-0.002049055851030931,-1.295086589583283,False
FINC,LowVol,fwd_5,1283,0.002576817425545556,2.786581914431638,False
FINC,LowVol,fwd_20,1191,0.011525640116867516,5.85239779864631,True
FINC,Momentum_Pos,fwd_5,5492,0.003944765085213164,9.294439852630559,True
FINC,Momentum_Pos,fwd_20,5311,0.013679600206861224,16.414527476490818,True
FINC,Oversold_LowVol,fwd_5,77,0.001661890313029843,0.34644994214149355,False
FINC,Oversold_LowVol,fwd_20,74,0.011323187461713872,1.1901612163794648,False
FINC,Near52High_LowVol,fwd_5,607,0.0016704180510903608,1.3471151793792855,False
FINC,Near52High_LowVol,fwd_20,565,0.004272285801295698,1.7107138419864072,False
HLTH,AboveEMA200,fwd_5,5211,0.0004024048203115297,0.8151602699048475,False
HLTH,AboveEMA200,fwd_20,4994,0.0012441063880184139,1.2758983687480576,False
HLTH,RSI_Oversold,fwd_5,1127,0.002844447752024766,2.1997320519002392,False
HLTH,RSI_Oversold,fwd_20,1123,0.01279635034655401,5.117475031051611,True
HLTH,Near52High,fwd_5,729,-0.001296543293974888,-0.9472897703642059,False
HLTH,Near52High,fwd_20,653,-0.0058697427214762276,-2.1447230880365624,False
HLTH,LowVol,fwd_5,874,0.0021220436338598033,1.5515149313945653,False
