strategy,mean,n,t
HighOsc3_H1,0.0007979098605447386,699655,7.860222088565231
LowOsc3_H1,0.0019087538590524702,482412,5.651525993746512
HighOsc3_H5,0.139104288829626,694782,1.4555463887847158
LowOsc3_H5,0.0044199773888726505,477240,9.767390749173051
HighOsc3_H10,0.12825072574483298,688049,2.0767722036140817
LowOsc3_H10,0.12815004990145132,471787,1.3652798590098199
HighOsc5_H1,0.05995189570833849,1054364,1.0113933351167643
LowOsc5_H1,0.0012647237848248183,682109,5.233498261178062
HighOsc5_H5,0.13310668862739902,1047198,1.9125707348584762
LowOsc5_H5,0.003924289528126576,674865,14.074193353626477
HighOsc5_H10,0.09955376011340435,1036272,2.3395038146723284
LowOsc5_H10,0.1297905095598033,668165,1.7053503066654532
HighOsc7_H1,0.04956061607008481,1281794,1.0164392844331696
LowOsc7_H1,0.0007854422657662887,793590,9.10669365661948
HighOsc7_H5,0.06136040277279454,1272245,2.082329889628239
LowOsc7_H5,0.004052148591624923,786021,24.11889442465875
HighOsc7_H10,0.06361084046987345,1259930,2.20622903036128
LowOsc7_H10,0.08031636385225857,777271,1.8589991396383188
HighOsc10_H1,0.06018248803238353,1053150,1.014114341633193
LowOsc10_H1,0.0011812085461938807,565500,10.86807548362311
HighOsc10_H5,0.027716523004469504,1045132,1.158703759339309
LowOsc10_H5,0.004384730126737269,559879,22.132119941913427
HighOsc10_H10,0.02907272176583085,1036647,1.3102905704409937
LowOsc10_H10,0.007696612665692896,550944,24.465424797775135
HighOsc14_H1,0.000987529792082678,666039,10.255049346656797
LowOsc14_H1,0.0010085294092214933,277172,6.84953894859036
HighOsc14_H5,0.004106605164614191,662029,13.67827775431586
LowOsc14_H5,0.00417642955130416,274201,13.760943684909526
HighOsc14_H10,0.007154145306608484,656648,17.382574416194625
LowOsc14_H10,0.007615951274686461,269757,14.021951012006426
HighOsc21_H1,0.0008421303923617235,401043,6.522755962967345
LowOsc21_H1,0.0011191633709055338,120273,4.059309422587423
HighOsc21_H5,0.00387342229684372,398440,11.409860859434504
LowOsc21_H5,0.004105837471614761,118322,7.429862160120524
HighOsc21_H10,0.007141882778364362,394882,15.697753532307491
LowOsc21_H10,0.007682083548799139,115445,9.52079574232035
LowAmp5_Q25_H1,0.00013614024883795714,1080950,4.998150804586962
LowAmp5_Q25_H5,0.0008596993999933531,1070461,14.080528687358125
LowAmp5_Q25_H10,0.055756529483210256,1053513,1.3264661469474603
HighAmp5_Q75_H1,0.059516092595191535,1081268,1.0296566700099405
HighAmp5_Q75_H5,0.1334944122224108,1072104,1.9637458225433695
HighAmp5_Q75_H10,0.16788270430067925,1061373,3.023876245910727
LowAmp10_Q25_H1,0.00018646354429029038,1068830,6.917806430487197
LowAmp10_Q25_H5,0.0007660439717394037,1056463,12.785035791823974
LowAmp10_Q25_H10,0.0019971412259278897,1041231,21.43987900168247
HighAmp10_Q75_H1,0.0603016650577903,1069573,1.0319636237425243
HighAmp10_Q75_H5,0.13577772319016618,1060692,1.976072200791193
HighAmp10_Q75_H10,0.2248009034755919,1049480,3.200665188674029
LowAmp20_Q25_H1,0.0002053936984824518,1045370,7.350228397939325
LowAmp20_Q25_H5,0.0010220555758568867,1034775,16.42817363900388
LowAmp20_Q25_H10,0.002206892802128373,1022188,23.40661791441629
HighAmp20_Q75_H1,0.061692924793084046,1045604,1.0321130226073336
HighAmp20_Q75_H5,0.13910419524421908,1036019,1.9773928654153563
HighAmp20_Q75_H10,0.23041694395181783,1023574,3.1996433232726242
StrongTrend10_H1,0.0008054755042851508,1273087,11.322163123666778
WeakTrend10_H1,0.0007081120201220241,1321486,15.504099894107394
StrongTrend10_H5,0.0034006378630551987,1262630,22.55234237615208
WeakTrend10_H5,0.08792273837791466,1309196,1.6814182940840583
StrongTrend10_H10,0.0069264016785116015,1244078,31.81315243497774
WeakTrend10_H10,0.1260644691754855,1297675,2.586100490605399
StrongTrend10_H20,0.10273464220376757,1221628,1.7682729134943533
WeakTrend10_H20,0.15896037925873444,1264278,3.679388313929007
StrongTrend20_H1,0.001016956400240608,533264,7.506427005610932
WeakTrend20_H1,0.03464485174322657,1844741,1.0225848349737707
StrongTrend20_H5,0.004570125209735713,528815,18.192549176126473
WeakTrend20_H5,0.07746205622172815,1826379,1.941183961158935
StrongTrend20_H10,0.007833961927284016,524631,20.917118502913954
WeakTrend20_H10,0.12870177297457921,1800610,3.1439517343539003
StrongTrend20_H20,0.28163227673693314,512898,1.9528312571610813
WeakTrend20_H20,0.09722361060643701,1757170,3.37295123848491
StrongTrend50_H1,0.00011924180819605063,95754,0.310063798309376
WeakTrend50_H1,0.0007826681194555494,2466955,10.380546797379129
StrongTrend50_H5,4.9086750348115405e-05,94784,0.06909492365942009
WeakTrend50_H5,0.003172541923803751,2440639,24.181753055846148
StrongTrend50_H10,0.00346813000409583,93658,1.7317301361880033
WeakTrend50_H10,0.00598575454034705,2406845,38.40462410267153
StrongTrend50_H20,0.010388548784492056,91206,4.008645826772907
WeakTrend50_H20,0.010734375041206548,2341500,47.67264823152687
Above3Days_H1,0.00018303116380152495,1752240,5.194638155357148
Below3Days_H1,0.0014978523774081185,1701485,13.435946154877257
Above3Days_H5,0.010847664488278536,1733517,1.1283036176977026
Below3Days_H5,0.005685400753273589,1690752,28.52633007456218
Above3Days_H10,0.045679142117404745,1707169,1.664048086609083
Below3Days_H10,0.010234946842036442,1678501,39.62412340667804
Above5Days_H1,0.00015488143136423402,1456724,4.051522324398183
Below5Days_H1,0.0013815118391068664,1405120,10.676494475998107
