,PC1,PC2,PC3,PC4,PC5
rsi_oversold,0.33433935139551074,-0.05705896615332791,0.1481664893409566,-0.2578978326767051,-0.06029505831055815
low_volatility,-0.18022755623297526,0.534161424359474,0.3033815172554003,-0.13670760290883038,0.11884017162964448
momentum_positive,-0.34824960797360627,0.2773150645675236,-0.2600598439832609,0.3656686174037694,0.000575972047634446
above_ema200,-0.3507625463850406,0.2787469027349555,-0.3181055172498379,0.31665884290800617,-0.07379989792817401
oversold_zscore,0.4815011140400848,0.3873567818696085,-0.22787740984061067,0.04593998168495132,-0.20066300959481592
volume_spike,0.05035778479731696,0.1446675504757456,-0.3185633274554505,-0.30920343372050463,0.6062081484862262
low_volume,-0.06439254614303874,0.1340698116123189,0.45943706195723094,0.13369913409784587,-0.4757878726710576
after_2down,0.2841905772644308,0.024620925847674946,0.15394619926046563,0.5075020437112123,0.32092430441504965
after_2up,-0.21370040205931806,0.06135636347072776,-0.3407859869332504,-0.48453222304981547,-0.3893491755930981
near_52w_high,-0.0,-1.0842021724855044e-19,-1.734723475976807e-18,0.0,0.0
below_bb_lower,0.48150111404008483,0.38735678186960837,-0.22787740984061078,0.04593998168495135,-0.20066300959481598
bb_squeeze,-0.12092135669130269,0.46200390203138897,0.4011587558302568,-0.26604584830365774,0.21866839566292684
