factor,train_mean,train_t,train_sharpe,train_n,test_mean,test_t,test_sharpe,test_n,degradation
rsi_oversold,0.021261537963659878,26.435967502018052,0.34190362454736584,150655,0.016375983040298896,20.278789074039786,0.18398673194958334,306134,0.2329091389414154
below_bb_lower,0.01689501639674269,25.793264094812006,0.527384252978326,60278,0.017460932241859763,12.947496096418982,0.17882155065498626,132109,0.4980280103818574
oversold_zscore,0.01689501639674269,25.793264094812006,0.527384252978326,60278,0.017460932241859763,12.947496096418982,0.17882155065498626,132109,0.4980280103818574
above_ema200,0.0016020757019465212,12.845627658381437,0.06909938742183024,870889,0.0040932183393879535,35.84656198026466,0.14928664236059774,1452960,-1.790565236170123
after_2down,0.006691611405589448,22.488827866386703,0.1954761512216401,333539,0.01152344273784814,22.508205016420067,0.14750992600747376,586732,-0.0008616345035183937
low_volatility,0.005617502892016659,47.144472030125286,0.35623293525959926,441361,0.0024296663923301315,23.328370313905882,0.1305630531462839,804505,0.5051727316195402
volume_spike,0.006744436872106048,8.70757424105262,0.13419036850415741,106109,0.009387434335622858,11.660756010918817,0.12993976609550328,202941,-0.3391509148372416
after_2up,0.00262294942497586,12.926399287048405,0.10426375097010149,387337,0.004150440111613309,15.82752961365855,0.1005666441400565,624193,-0.22443452830030797
bb_squeeze,0.003290826341519894,9.714622132957055,0.12902320332590203,142862,0.0013518723849905996,4.657931935097998,0.045209857565610155,267498,0.5205236115879517
low_volume,0.004755120427467389,14.458148146254414,0.12902058848436904,316452,0.16441063473128575,1.9173250993982176,0.012229499245593056,619405,0.867387919946378
momentum_positive,0.000906901941822711,6.402025356718551,0.036747790202531994,764844,0.03964101188126799,2.0311104428995677,0.008642669182202717,1391784,0.6827393942187316
