id,name,category,sharpe,excess_sharpe,mc_percentile,wf_p_value,wf_win_rate,passed_mc,passed_wf,is_survivor,n_trades,error
TF001,Time-Series Momentum (1-month),Trend Following,1.077596060220634,0.18160455603928494,13.020000000000001,0.0002796333282951304,0.3050847457627119,False,False,False,32082,
TF002,Time-Series Momentum (3-month),Trend Following,2.219164154814323,1.2503922851483589,0.0,0.0005018222270760254,0.22413793103448276,False,False,False,35074,
TF003,Time-Series Momentum (12-month),Trend Following,2.328823248719153,1.3600513790531892,0.0,0.23252446003609076,0.32142857142857145,False,False,False,37510,
TF005,MA Crossover (50/200),Trend Following,2.4758920920560534,1.5071202223900895,0.08,0.18984355832470196,0.36538461538461536,False,False,False,36831,
TF006,Price Above 200MA,Trend Following,1.249587467569665,0.3535959633883159,84.66,0.0033132032455306265,0.3559322033898305,False,False,False,36910,
MR001,RSI Oversold,Mean Reversion,0.554796003025471,-0.34119550115587804,99.28,0.7005153739027594,0.4722222222222222,True,False,False,3650,
MR002,RSI Overbought (Short),Mean Reversion,-0.6592601504746243,-1.5552516546559734,26.32,5.526279122157113e-06,0.25925925925925924,False,False,False,9676,
MR003,Bollinger Band Lower Touch,Mean Reversion,0.6133848823034933,-0.2826066218778558,100.0,0.15361849028744473,0.425531914893617,True,False,False,2473,
MR004,Bollinger Band Upper Touch (Short),Mean Reversion,-0.15070385194601463,-1.0466953561273638,99.58,1.7193635268337064e-06,0.20454545454545456,True,False,False,2792,
SS001,Sell in May,Seasonality,2.1419217138522915,1.1731498441863275,0.0,0.00047129374316846233,0.25,False,False,False,5904,
SS003,Turn of Month,Seasonality,0.30836779356608873,-0.5349458294307519,41.78,0.001214863839397059,0.288135593220339,False,False,False,2334,
VL001,VIX High → Buy,Volatility,-1.0579792098178022,-1.9539707139991513,8.92,0.0009408874049410872,0.25925925925925924,False,False,False,541,
VL002,VIX Low → Risk On,Volatility,0.9249077768248137,0.028916272643464636,1.4200000000000002,6.074760785001939e-06,0.23809523809523808,False,False,False,2856,
VL003,VIX Term Structure,Volatility,0.25385083836232364,-0.6421406658190254,38.7,0.6375153880585824,0.5555555555555556,False,False,False,108,
IM001,Sector Momentum (1-month),Intermarket,1.9124351450650068,1.2307025453012552,0.0,0.0002263204589122631,0.2033898305084746,False,False,False,22598,
