,Financials,Technology,Healthcare,Energy,Industrials,Consumer Staples,Consumer Discretionary,Materials,Utilities,Real Estate,Communication Services
Financials,1.0,0.29140176069447,0.4162249024341066,0.324622861624301,0.6440229026963538,0.4595419208567109,0.5166736882847088,0.7280113986914374,0.35771290962594754,0.6102053028661307,0.5780436190515608
Technology,0.29140176069447,1.0,0.08043594465690383,0.16329724114182548,0.6227968431080224,-0.35279972087133094,0.6356436711688076,0.33380289851150513,0.2691047320084819,0.046067655486516416,0.5248414839866647
Healthcare,0.4162249024341066,0.08043594465690383,1.0,0.13845996629138987,0.42141959177887517,0.42827809809380374,0.3485030547801133,0.5095244848130047,0.36841807071495164,0.538857099990328,0.26179277694415953
Energy,0.324622861624301,0.16329724114182548,0.13845996629138987,1.0,0.2578867288765888,0.19221094396947783,0.2318300095050357,0.35151295175618763,0.09556456264843267,0.34873913412144686,0.2579486524287106
Industrials,0.6440229026963538,0.6227968431080224,0.42141959177887517,0.2578867288765888,1.0,0.05473757297344262,0.6731214877086819,0.6778314017237324,0.39995549380835693,0.3830352878840187,0.6345418705192601
Consumer Staples,0.4595419208567109,-0.35279972087133094,0.42827809809380374,0.19221094396947783,0.05473757297344262,1.0,0.09833776071223621,0.4461817407853952,0.22082403183816424,0.6758732883750781,0.20820315653012822
Consumer Discretionary,0.5166736882847088,0.6356436711688076,0.3485030547801133,0.2318300095050357,0.6731214877086819,0.09833776071223621,1.0,0.5751189570545191,0.30466768283018025,0.32850912809280414,0.7145693049635099
Materials,0.7280113986914374,0.33380289851150513,0.5095244848130047,0.35151295175618763,0.6778314017237324,0.4461817407853952,0.5751189570545191,1.0,0.314970805870564,0.5080540983022993,0.5608203960819604
Utilities,0.35771290962594754,0.2691047320084819,0.36841807071495164,0.09556456264843267,0.39995549380835693,0.22082403183816424,0.30466768283018025,0.314970805870564,1.0,0.47566303878802124,0.3136012239018458
Real Estate,0.6102053028661307,0.046067655486516416,0.538857099990328,0.34873913412144686,0.3830352878840187,0.6758732883750781,0.32850912809280414,0.5080540983022993,0.47566303878802124,1.0,0.4482878632593969
Communication Services,0.5780436190515608,0.5248414839866647,0.26179277694415953,0.2579486524287106,0.6345418705192601,0.20820315653012822,0.7145693049635099,0.5608203960819604,0.3136012239018458,0.4482878632593969,1.0
