ticker,sector,industry,market_cap_category,notes
AAPL,Technology,Consumer Electronics,Large Cap,Benchmark
MSFT,Technology,Software,Large Cap,Benchmark
NVDA,Technology,Semiconductors,Large Cap,AI Leader
AMD,Technology,Semiconductors,Large Cap,AI/GPU
AVGO,Technology,Semiconductors,Large Cap,Networking
MSTR,Technology,Software,Mid Cap,Bitcoin Proxy
IONQ,Technology,Quantum Computing,Small Cap,Current Holding
GOOGL,Technology,Internet,Large Cap,AI/Cloud
META,Technology,Social Media,Large Cap,AI Investment
TSLA,Automotive,Electric Vehicles,Large Cap,Innovation Leader
PLTR,Technology,Software,Mid Cap,AI/Data
SNOW,Technology,Cloud,Mid Cap,Data Analytics
CRWD,Technology,Cybersecurity,Mid Cap,Security Leader
DDOG,Technology,Software,Mid Cap,Monitoring
NET,Technology,Internet,Mid Cap,Edge Computing
PANW,Technology,Cybersecurity,Mid Cap,Security
ZS,Technology,Cybersecurity,Mid Cap,Cloud Security
S,Technology,Software,Mid Cap,Database
MDB,Technology,Software,Mid Cap,Database
ESTC,Technology,Software,Small Cap,Search/Analytics
CFLT,Technology,Data,Small Cap,Streaming Data
GTLB,Technology,Software,Small Cap,DevOps
DOCN,Technology,Cloud,Small Cap,Cloud Infrastructure
PATH,Technology,Analytics,Small Cap,Customer Analytics
FROG,Technology,AI,Small Cap,AI Platform
SOUN,Technology,AI,Small Cap,Voice AI
BBAI,Technology,AI,Small Cap,Decision Intelligence
ASTS,Communications,Space,Small Cap,Current Holding - SpaceMobile
LUNR,Aerospace,Space,Small Cap,Current Holding - Lunar Lander
RKLB,Aerospace,Space,Small Cap,Launch Services
SPCE,Aerospace,Space Tourism,Small Cap,Virgin Galactic
PL,Aerospace,Space,Small Cap,Planet Labs
BLDE,Aerospace,Drones,Small Cap,Drone Defense
AVAV,Aerospace,Drones,Small Cap,Tactical Drones
UAVS,Aerospace,Drones,Micro Cap,Drone Systems
IRDM,Communications,Satellite,Small Cap,Iridium
GSAT,Communications,Satellite,Micro Cap,Globalstar
SATS,Communications,Satellite,Small Cap,EchoStar Mobile
HOOD,Fintech,Brokerage,Mid Cap,Current Holding - Retail Trading
SOFI,Fintech,Banking,Small Cap,Digital Bank
UPST,Fintech,Lending,Small Cap,AI Lending
AFRM,Fintech,BNPL,Small Cap,Buy Now Pay Later
LC,Fintech,Lending,Small Cap,Peer-to-Peer
NU,Fintech,Banking,Large Cap,Latin America Neobank
COIN,Fintech,Crypto Exchange,Mid Cap,Coinbase
