,RKLB,ASTS,LUNR,BKSY,SATL,IONQ,RGTI,QBTS,OKLO,SMR,LEU,SOUN,BBAI,GRRR,DNA,MU,WOLF,AEHR,KDK,KULR
RKLB,1.0,0.3893932332375099,0.44917963531557864,0.44078484434855614,0.3109176422778487,0.5315775016697958,0.39997825422137606,0.37128227642586886,0.39244026214270655,0.41776539964278386,0.35811714906163766,0.3515267017334307,0.36578196073995267,0.174691746607303,0.26935700711951716,0.3361105915926391,0.29730336142581615,0.2903438910580834,0.46111430720790403,0.24882614320369806
ASTS,0.3893932332375099,1.0,0.2575708688061022,0.3168521865436315,0.2192324861315658,0.2729164599779083,0.2452057891093333,0.24297310440774897,0.24243345601494878,0.2340896979173216,0.21025751303331053,0.2006379349510038,0.23564960684716535,0.15823261484733522,0.24058799077588588,0.24270228170807182,0.2088641543632361,0.24837427850435445,0.3296410099425614,0.052451769834341785
LUNR,0.44917963531557864,0.2575708688061022,1.0,0.3278066443007158,0.2535824176303765,0.3591625323982134,0.25603796762611636,0.30939284288579544,0.26865409861333694,0.22899692675542013,0.20061341755293344,0.31067507999574195,0.2707004084445082,0.16405457476032062,0.19564598934926833,0.24729212745176057,0.23604880506413659,0.2067449795774933,0.3597583737671173,0.2320594605757464
BKSY,0.44078484434855614,0.3168521865436315,0.3278066443007158,1.0,0.3164963349547977,0.38186868500791077,0.28625320921041686,0.3145296387238041,0.30364591240463884,0.2959105972072584,0.29389162861341206,0.33440677734278496,0.3911907579211459,0.16843832491884775,0.2846734699821758,0.30780910153361035,0.24788314093228295,0.32431290206010294,0.4071539962431311,0.13844894550449188
SATL,0.3109176422778487,0.2192324861315658,0.2535824176303765,0.3164963349547977,1.0,0.26652995072322666,0.24288611898724943,0.26617759822254183,0.2169716541208259,0.2449723819106439,0.22923133227455983,0.2849096288439898,0.3213745228216131,0.148440400123489,0.17758018338233686,0.23575964720703607,0.24091974100551866,0.21953703900320878,0.34103146172294013,0.243180288339789
IONQ,0.5315775016697958,0.2729164599779083,0.3591625323982134,0.38186868500791077,0.26652995072322666,1.0,0.6050730769303102,0.5919965541517263,0.4050058444133114,0.3861421035072126,0.30215486842997047,0.43581057438541027,0.4274062124963663,0.17651250384402542,0.28905467604626467,0.3592911777764508,0.17588073744533864,0.31210565744501684,0.4089333391036788,0.23651171516391606
RGTI,0.39997825422137606,0.2452057891093333,0.25603796762611636,0.28625320921041686,0.24288611898724943,0.6050730769303102,1.0,0.6814775556626792,0.3393266951548133,0.31178464626128033,0.27545808362956853,0.43711353853136375,0.35928759701973556,0.26631785192267965,0.3592195112295563,0.264289947468172,0.19948274824907938,0.2319548075412535,0.4375304509672474,0.3545790404187071
QBTS,0.37128227642586886,0.24297310440774897,0.30939284288579544,0.3145296387238041,0.26617759822254183,0.5919965541517263,0.6814775556626792,1.0,0.2839868337771251,0.3437294479617734,0.2943191195317602,0.43232259984920646,0.37774704278853144,0.23991140890341858,0.27449359429214026,0.27294446288239227,0.16076436803379077,0.22458337869344788,0.40399139240419923,0.2513177878703518
OKLO,0.39244026214270655,0.24243345601494878,0.26865409861333694,0.30364591240463884,0.2169716541208259,0.4050058444133114,0.3393266951548133,0.2839868337771251,1.0,0.5523366709900988,0.5106244611262776,0.24056458462099697,0.3067543155341574,0.18361270927452297,0.2976883071658415,0.2674052994783877,0.2027989919230359,0.1980843130048321,0.3046097153050059,0.16463212460645135
SMR,0.41776539964278386,0.2340896979173216,0.22899692675542013,0.2959105972072584,0.2449723819106439,0.3861421035072126,0.31178464626128033,0.3437294479617734,0.5523366709900988,1.0,0.49527540710039447,0.2650541465717686,0.3115715124500863,0.09278097056443892,0.2317772920663763,0.2851471988891671,0.18088153192320242,0.23083056129139964,0.3364205248375793,0.14087598320854527
LEU,0.35811714906163766,0.21025751303331053,0.20061341755293344,0.29389162861341206,0.22923133227455983,0.30215486842997047,0.27545808362956853,0.2943191195317602,0.5106244611262776,0.49527540710039447,1.0,0.23425903820731278,0.27423880213778695,0.13336264648388027,0.2376186235957997,0.288026475363087,0.1905707069179963,0.2246673264138349,0.36171043210097625,0.16506558483991454
SOUN,0.3515267017334307,0.2006379349510038,0.31067507999574195,0.33440677734278496,0.2849096288439898,0.43581057438541027,0.43711353853136375,0.43232259984920646,0.24056458462099697,0.2650541465717686,0.23425903820731278,1.0,0.48580052924086975,0.18965668527393192,0.2639483069687094,0.29797568808626673,0.3746972879357132,0.24677634029714757,0.27268198960196405,0.236302508721937
BBAI,0.36578196073995267,0.23564960684716535,0.2707004084445082,0.3911907579211459,0.3213745228216131,0.4274062124963663,0.35928759701973556,0.37774704278853144,0.3067543155341574,0.3115715124500863,0.27423880213778695,0.48580052924086975,1.0,0.17292457695673535,0.34082033180240057,0.25698780005413013,0.3028186318288366,0.262100363496482,0.3077967813973148,0.22726860365724774
GRRR,0.174691746607303,0.15823261484733522,0.16405457476032062,0.16843832491884775,0.148440400123489,0.17651250384402542,0.26631785192267965,0.23991140890341858,0.18361270927452297,0.09278097056443892,0.13336264648388027,0.18965668527393192,0.17292457695673535,1.0,0.11127352361045255,0.11814869917746992,0.09431123590908526,0.10994751341173148,0.13744196298705252,0.14011956571913398
DNA,0.26935700711951716,0.24058799077588588,0.19564598934926833,0.2846734699821758,0.17758018338233686,0.28905467604626467,0.3592195112295563,0.27449359429214026,0.2976883071658415,0.2317772920663763,0.2376186235957997,0.2639483069687094,0.34082033180240057,0.11127352361045255,1.0,0.2227167263453732,0.2790378930125442,0.3375798055639779,0.021432277093767244,0.20075757472406697
MU,0.3361105915926391,0.24270228170807182,0.24729212745176057,0.30780910153361035,0.23575964720703607,0.3592911777764508,0.264289947468172,0.27294446288239227,0.2674052994783877,0.2851471988891671,0.288026475363087,0.29797568808626673,0.25698780005413013,0.11814869917746992,0.2227167263453732,1.0,0.14373633273751332,0.3297061636433545,0.07081138281647016,0.15923631199739824
WOLF,0.29730336142581615,0.2088641543632361,0.23604880506413659,0.24788314093228295,0.24091974100551866,0.17588073744533864,0.19948274824907938,0.16076436803379077,0.2027989919230359,0.18088153192320242,0.1905707069179963,0.3746972879357132,0.3028186318288366,0.09431123590908526,0.2790378930125442,0.14373633273751332,1.0,0.11881878295560185,0.23891096334862758,0.21270113539457006
AEHR,0.2903438910580834,0.24837427850435445,0.2067449795774933,0.32431290206010294,0.21953703900320878,0.31210565744501684,0.2319548075412535,0.22458337869344788,0.1980843130048321,0.23083056129139964,0.2246673264138349,0.24677634029714757,0.262100363496482,0.10994751341173148,0.3375798055639779,0.3297061636433545,0.11881878295560185,1.0,0.18956587154309837,0.11021079668607074
KDK,0.46111430720790403,0.3296410099425614,0.3597583737671173,0.4071539962431311,0.34103146172294013,0.4089333391036788,0.4375304509672474,0.40399139240419923,0.3046097153050059,0.3364205248375793,0.36171043210097625,0.27268198960196405,0.3077967813973148,0.13744196298705252,0.021432277093767244,0.07081138281647016,0.23891096334862758,0.18956587154309837,1.0,0.3910616226182088
KULR,0.24882614320369806,0.052451769834341785,0.2320594605757464,0.13844894550449188,0.243180288339789,0.23651171516391606,0.3545790404187071,0.2513177878703518,0.16463212460645135,0.14087598320854527,0.16506558483991454,0.236302508721937,0.22726860365724774,0.14011956571913398,0.20075757472406697,0.15923631199739824,0.21270113539457006,0.11021079668607074,0.3910616226182088,1.0
