ticker,zero_volume_days
AACB,48
AACBU,89
AAM,17
ABI,7
ABLLL,12
ABLV,7
ABP,105
ACFN,52
ACLO,55
ACPpA,43
ACVT,39
ADAMZ,9
ADTX,170
ADVE,48
ADXN,40
AFBI,13
AFJK,180
AFJKU,403
AFLG,7
AFSC,16
AFSM,8
AGGS,51
AGRH,34
AGRW,9
AIRJ,11
AIRT,51
AIRTP,70
AKAF,19
ALCY,210
ALCYU,449
ALDF,40
ALDFU,113
ALF,39
ALFUU,229
ALM,16
ALMU,33
ALRG,18
AMBO,6
AMCI,249
AMDD,6
AMOD,84
AMPGW,182
AMUB,34
ANEB,6
ANEW,7
ANL,19
ANNA,128
ANSC,30
ANSCU,408
APLM,21
APLMW,478
APWC,8
AREA,32
ARKR,29
ARP,10
ARQQW,500
ARVR,23
ASBP,134
ASPC,106
ASPCU,145
ASTC,6
ATCH,7
ATGL,22
ATHE,9
ATII,28
ATIIU,125
ATLN,53
ATMC,297
ATMCU,406
AUBN,45
AUGT,6
AUSM,21
AVBH,110
AVGB,13
AVIE,26
AVS,17
AWEG,89
AWX,21
AXINU,65
AZTD,9
BACCU,33
BACQ,17
BACQU,156
BAFN,13
BALY,9
BANFP,152
BAYA,222
BAYAU,395
BBBI,17
BBBL,12
BBGI,7
BBLGW,366
BBOT,104
BCIL,39
BDGS,6
BDL,94
BDMD,81
BEAG,11
BEAGU,112
BEDU,61
BEEX,6
BEEZ,22
BFAP,43
BFJL,35
BFRE,25
BGM,9
BGMSP,163
BHM,9
BHST,12
BHV,22
BILD,77
BKHA,200
BKHAU,351
BLIV,17
BLUWU,45
BMDL,94
BMED,6
BMHL,6
BNAI,26
BNC,13
BNR,8
BOTJ,23
BPH,21
BPOPM,73
BRAZ,8
BRFH,8
BRIA,6
BRID,22
BRKD,31
BRLS,53
BRRWW,7
BSAAU,48
BSBK,10
BSLK,106
BSR,113
BTBD,28
BTR,121
BTRN,8
BTSGU,28
BUFI,15
BULL,15
BULLW,57
BUYO,56
BWBBP,35
BYFC,28
BZAI,66
CA,38
CAAA,53
CANQ,12
CAPN,101
CAPNU,267
CAPS,276
CARK,8
CARU,8
CAS,19
CATF,19
CBLS,19
CCCXU,12
CCFE,24
CCGWW,192
CCIIU,21
CCIX,41
CCIXU,257
CCLDO,7
CCM,26
CCNEP,68
CCNR,30
CCZ,365
CDZIP,6
CETX,46
CFBK,17
CGCT,37
CGCTU,90
CGRO,54
CHAC,7
CHACU,95
CHAR,130
CHARU,249
CHPG,56
CHPGU,85
CHSN,10
CIIT,220
CIL,8
CKX,89
CLST,27
CNCK,92
CNL,33
CNOBP,13
COE,11
COLA,84
COLAU,181
COOT,16
COPL,29
CORO,6
COSO,17
CPBI,33
CPHC,41
CPII,39
CPLB,7
CPLS,33
CPNM,17
CPNQ,11
CPNS,27
CPRA,34
CPRJ,11
CPRO,6
CPSF,12
CPSJ,6
CPSN,37
CPSO,36
CPSP,36
CPSR,15
CPST,22
CPSU,21
CPSY,12
CPXR,11
CRAQ,31
CRAQU,70
CSCS,8
CSHP,46
CTOR,58
CTWO,14
CUB,62
CUBB,41
CUBWU,270
CVR,44
CVRD,11
CXRN,23
CYCN,8
CZAR,26
DAAQU,51
DAK,25
DCOMG,19
DDC,9
DGICB,184
DGZ,27
DHSB,13
DIT,69
DIVD,6
DJTWW,214
DMAA,11
DMCY,22
DRDB,13
DRDBU,127
DSPY,6
DSY,21
DTCX,108
DTSQ,153
DTSQU,284
DVDN,22
DVIN,56
DVND,9
DVQQ,15
DVRE,57
DVSP,43
DVUT,23
DVXB,71
DVXC,61
DVXE,52
DVXF,64
DVXK,12
DVXP,28
DVXV,27
DVXY,64
DXR,36
EAFG,51
EBIT,6
ECBK,8
ECCC,6
ECCV,11
ECCW,38
ECCX,12
EDRY,15
EEIQ,28
EFAA,6
EFFE,137
EFFI,120
EFSCP,18
EFSI,120
EGHA,42
EGHAU,94
EHLD,6
EICA,23
EKG,9
ELLO,47
ELPC,9
ELPW,71
ELSE,36
EMA,10
EMBX,426
EMEQ,14
EMES,56
EMOP,14
EMOT,6
EMPG,49
ENJ,58
EPEM,75
EPIN,73
EPMB,95
EPMV,87
EPSB,99
EPSV,68
EQS,14
ERET,8
ESBA,60
ESGL,8
ESHA,241
ESIX,15
ETHM,33
ETHMU,108
EURK,140
EURKU,269
EVNT,21
EXEEL,288
EXEEW,431
EXEEZ,399
EXOD,148
EXOZ,20
EXUS,25
EYEG,63
FACT,74
FACTU,158
FATBB,52
FCAP,26
FCFY,42
FCRX,39
FCSH,55
FDTS,53
FEBT,7
FEDM,22
FEDU,143
FEIG,13
FER,73
FERA,45
FERAU,126
FEUS,32
FFIU,6
FFLS,16
FGBIP,39
FGM,6
FGMC,13
FGMCU,46
FGNX,16
FGNXP,62
FHYS,6
FIEE,10
FIGXU,38
FISK,280
FLAO,15
FLCG,9
FLCV,13
FLD,42
FLDB,56
FLJJ,50
FLUD,26
FMCE,14
FMCX,39
FNWD,14
FORH,37
FORTY,211
FOXX,79
FPA,8
FRDD,7
FRMEP,161
FSCC,21
FSEA,44
FSHP,133
FSHPU,286
FSUN,30
FTAIM,14
FTCB,8
FTHF,89
FTIF,53
FTKI,30
FUFU,11
FUSB,29
FUSE,271
FUSI,16
FVN,156
FVNNU,248
GAEM,15
GAINN,16
GAINZ,41
GBLI,51
GBND,21
GCAL,26
GCL,178
GCTS,10
GDEV,14
GDVpH,15
GECCH,39
GECCI,108
GECCO,155
GEGGL,99
GEME,18
GENM,15
GENT,9
GENW,22
GEOA,16
GGM,96
GGOV,6
GGRW,9
